
FantasyPros.com 	 
Week 5 - RB Rankings 	 
Expert Consensus Rankings (ECR) 	 

 Rank 	 Player Name 	Team 	 Matchup 	Best Rank 	 Worst Rank 	 Avg Rank 	 Std Dev 	
1	Le'Veon Bell	PIT	  at  SD	1	2	1.125	0.33071891388307		
2	Jamaal Charles	KC	  vs.  CHI	1	4	2.125	0.7806247497998		
3	Adrian Peterson	MIN	  	3	4	3.25	0.43301270189222		
4	Eddie Lacy	GB	  vs.  STL	2	6	4.25	1.1989578808282		
5	Matt Forte	CHI	  at  KC	3	6	4.5	0.86602540378444		
6	Marshawn Lynch	SEA	  at  CIN	5	11	7	2.1213203435596		
7	Latavius Murray	OAK	  vs.  DEN	7	20	11	3.9051248379533		
8	Jeremy Hill	CIN	  vs.  SEA	6	17	11.125	3.6890886408434		
9	Arian Foster	HOU	  vs.  IND	6	21	11.375	5.218656436287		
10	Mark Ingram	NO	  at  PHI	7	16	11.375	3.0796712486887		
11	Frank Gore	IND	  at  HOU	8	16	13	2.2360679774998		
12	Justin Forsett	BAL	  vs.  CLE	8	16	13.125	2.4717149916606		
13	Carlos Hyde	SF	  at  NYG	6	29	14.375	7.6475077639712		
14	Christopher Ivory	NYJ	  	13	22	17.25	2.4366985862022		
15	Devonta Freeman	ATL	  vs.  WAS	7	40	17.75	12.427288521637		
16	Todd Gurley	STL	  at  GB	8	33	17.875	8.7954178411261		
17	DeMarco Murray	PHI	  vs.  NO	7	31	20.5	6.2048368229954		
18	LeSean McCoy	BUF	  at  TEN	10	35	20.625	7.0522602759683		
19	Lamar Miller	MIA	  	10	34	20.75	8.9127717349879		
20	Joseph Randle	DAL	  vs.  NE	17	27	21.25	3.23071199583		
21	Dion Lewis	NE	  at  DAL	9	50	21.75	12.813567028739		
22	Melvin Gordon	SD	  vs.  PIT	16	31	23.25	5.165994579943		
23	Jonathan Stewart	CAR	  	12	32	24	7.1763500472037		
24	Ameer Abdullah	DET	  vs.  ARI	21	27	24.125	1.9645292056877		
25	Danny Woodhead	SD	  vs.  PIT	10	39	24.625	7.7288016535554		
26	C.J. Anderson	DEN	  at  OAK	9	35	25.75	7.9175438110566		
27	LeGarrette Blount	NE	  at  DAL	18	37	25.75	6.015604707758		
