
FantasyPros.com 	 
Week 5 - TE Rankings 	 
Expert Consensus Rankings (ECR) 	 

 Rank 	 Player Name 	Team 	 Matchup 	Best Rank 	 Worst Rank 	 Avg Rank 	 Std Dev 	
1	Rob Gronkowski	NE	  at  DAL	1	1	1	0		
2	Greg Olsen	CAR	  	2	4	2.875	0.92702481088696		
3	Travis Kelce	KC	  vs.  CHI	2	4	3.25	0.82915619758885		
4	Jimmy Graham	SEA	  at  CIN	2	5	3.5	1.2247448713916		
5	Martellus Bennett	CHI	  at  KC	3	10	5.8571428571429	1.9587584572574		
6	Tyler Eifert	CIN	  vs.  SEA	3	8	6.4285714285714	1.678191446353		
7	Jason Witten	DAL	  vs.  NE	6	10	7.8571428571429	1.5518257844572		
8	Delanie Walker	TEN	  vs.  BUF	6	17	10	3.2950178841917		
9	Heath Miller	PIT	  at  SD	4	20	12.75	4.7103609203542		
10	Jordan Reed	WAS	  at  ATL	5	26	12.714285714286	6.1577891606435		
11	Zach Ertz	PHI	  vs.  NO	6	22	12.428571428571	5.2876444352348		
12	Jordan Cameron	MIA	  	7	18	13.142857142857	3.6811710647786		
13	Antonio Gates	SD	  vs.  PIT	5	28	14.714285714286	7.3623421295572		
14	Charles Clay	BUF	  at  TEN	8	24	15.142857142857	6.0575471563183		
15	Eric Ebron	DET	  vs.  ARI	11	19	15.714285714286	2.3733211036909		
16	Kyle Rudolph	MIN	  	9	23	16.714285714286	5.2020404160095		
17	Julius Thomas	JAC	  at  TB	11	21	16.571428571429	3.8861344310673		
18	Larry Donnell	NYG	  vs.  SF	9	24	17.857142857143	4.421653583012		
19	Owen Daniels	DEN	  at  OAK	11	29	19	5.3452248382485		
20	Ladarius Green	SD	  vs.  PIT	13	25	19.571428571429	4.8948119140034		
21	Coby Fleener	IND	  at  HOU	14	27	20.571428571429	5.0950155714649		
22	Richard Rodgers	GB	  vs.  STL	12	27	22.142857142857	5.0548017179869		
23	Gary Barnidge	CLE	  at  BAL	10	42	24	11.489125293076		
24	Vernon Davis	SF	  at  NYG	12	30	22.571428571429	5.7285536159324		
25	Dwayne Allen	IND	  at  HOU	16	27	20.857142857143	3.6027200608339		
26	Austin Seferian-Jenkins	TB	  vs.  JAC	12	31	23.714285714286	5.4958240176204		
27	Crockett Gillmore	BAL	  vs.  CLE	17	28	24	3.7416573867739		
28	Jared Cook	STL	  at  GB	19	31	24.571428571429	4.3377789859111		
29	Josh Hill	NO	  at  PHI	19	28	26	3.2145502536643		
30	Benjamin Watson	NO	  at  PHI	20	39	29.833333333333	5.7566386797235		
31	Mychal Rivera	OAK	  vs.  DEN	25	34	30.666666666667	2.8087165910588		
32	Maxx Williams	BAL	  vs.  CLE	26	31	29.2	1.7204650534085		
33	Virgil Green	DEN	  at  OAK	27	34	31.166666666667	2.5440562537456		
34	Scott Chandler	NE	  at  DAL	27	32	29.333333333333	2.0548046676563		
35	Jake Stoneburner	MIA	  	29	35	32	3		
36	Jacob Tamme	ATL	  vs.  WAS	30	35	32	1.870828693387		
37	Garrett Graham	HOU	  vs.  IND	32	32	32	0		
38	Darren Fells	ARI	  at  DET	33	38	35.5	2.5		
39	Jermaine Gresham	ARI	  at  DET	33	33	33	0		
40	Brent Celek	PHI	  vs.  NO	35	37	36	1		
41	Brandon Myers	TB	  vs.  JAC	36	40	38	2		
42	Gavin Escobar	DAL	  vs.  NE	36	36	36	0		
43	Levine Toilolo	ATL	  vs.  WAS	41	41	41	0		
44	Jeff Cumberland	NYJ	  	43	43	43	0		
45	Marcedes Lewis	JAC	  at  TB	44	44	44	0		
46	Dion Sims	MIA	  	45	45	45	0		
47	Troy Niklas	ARI	  at  DET	46	46	46	0		
48	Rob Housler	CLE	  at  BAL	47	47	47	0		
49	MyCole Pruitt	MIN	  	48	48	48	0		
50	Luke Willson	SEA	  at  CIN	49	49	49	0		
