
FantasyPros.com 	 
Week 5 - WR Rankings 	 
Expert Consensus Rankings (ECR) 	 

 Rank 	 Player Name 	Team 	 Matchup 	Best Rank 	 Worst Rank 	 Avg Rank 	 Std Dev 	
1	Julio Jones	ATL	  vs.  WAS	1	3	1.5	0.70710678118655		
2	Antonio Brown	PIT	  at  SD	1	6	2.75	1.6393596310755		
3	A.J. Green	CIN	  vs.  SEA	2	9	4.125	2.1469455046647		
4	Odell Beckham Jr.	NYG	  vs.  SF	2	8	4.25	1.8540496217739		
5	Demaryius Thomas	DEN	  at  OAK	3	11	5.75	2.5372228912731		
6	Randall Cobb	GB	  vs.  STL	5	10	7.125	1.4523687548278		
7	DeAndre Hopkins	HOU	  vs.  IND	5	11	7.625	1.9324531042175		
8	Calvin Johnson	DET	  vs.  ARI	6	14	8.75	2.6339134382132		
9	Julian Edelman	NE	  at  DAL	1	14	9	4.5552167895721		
10	Emmanuel Sanders	DEN	  at  OAK	7	18	11.75	4.2056509603152		
11	Keenan Allen	SD	  vs.  PIT	6	17	12.75	3.2691742076555		
12	Amari Cooper	OAK	  vs.  DEN	10	18	12.875	2.3684119151871		
13	Jordan Matthews	PHI	  vs.  NO	9	24	13.5	4.6636895265444		
14	Brandon Marshall	NYJ	  	3	20	14.625	4.9984372557831		
15	T.Y. Hilton	IND	  at  HOU	13	18	15.5	1.6583123951777		
16	Larry Fitzgerald	ARI	  at  DET	6	25	15.625	6.2035775968388		
17	Mike Evans	TB	  vs.  JAC	8	35	16.625	7.7449580373298		
18	Alshon Jeffery	CHI	  at  KC	9	45	19.25	10.568230693924		
19	Jarvis Landry	MIA	  	13	23	19.25	3.7996710383927		
20	Jeremy Maclin	KC	  vs.  CHI	17	26	20.375	2.7357585785299		
21	Allen Robinson	JAC	  at  TB	17	24	20.875	2.0271593425284		
22	Brandin Cooks	NO	  at  PHI	10	32	26.25	7.3442154107842		
23	James Jones	GB	  vs.  STL	15	50	27.125	10.409580923361		
24	Golden Tate	DET	  vs.  ARI	21	58	28.625	11.884206957134		
25	Steve Smith	BAL	  vs.  CLE	22	40	28.75	6.1796035471541		
26	Vincent Jackson	TB	  vs.  JAC	21	29	25	2.725540575477		
27	Sammy Watkins	BUF	  at  TEN	26	38	30.375	3.4977671449083		
28	Eric Decker	NYJ	  	19	30	26.571428571429	3.4166459266004		
29	Pierre Garcon	WAS	  at  ATL	22	39	26.714285714286	5.2566769979926		
30	Davante Adams	GB	  vs.  STL	19	44	32.125	8.6809777675098		
31	Mike Wallace	MIN	  	27	38	32.25	4.0543186850567		
32	Kendall Wright	TEN	  vs.  BUF	24	38	31	4.7207747548167		
33	Donte Moncrief	IND	  at  HOU	19	70	36	16.186414056239		
34	John Brown	ARI	  at  DET	22	42	33	6.0944940022004		
35	Anquan Boldin	SF	  at  NYG	23	53	38.5	10.049875621121		
36	Martavis Bryant	PIT	  at  SD	34	46	37.857142857143	3.9795395077669		
37	Terrance Williams	DAL	  vs.  NE	34	47	40	3.9641248358605		
38	DeSean Jackson	WAS	  at  ATL	32	59	41.428571428571	10.92647038627		
39	Andre Johnson	IND	  at  HOU	14	60	41.571428571429	16.378183597676		
40	Torrey Smith	SF	  at  NYG	39	51	42.428571428571	4.4031528592636		
41	Michael Crabtree	OAK	  vs.  DEN	30	55	43.428571428571	9.7812815820707		
42	Eddie Royal	CHI	  at  KC	40	49	43.714285714286	3.2826072265932		
43	Dez Bryant	DAL	  vs.  NE	23	59	44.142857142857	12.608710950638		
44	Allen Hurns	JAC	  at  TB	28	61	44.285714285714	10.739969216693		
45	Nelson Agholor	PHI	  vs.  NO	30	54	44.428571428571	7.1884260716624		
46	Roddy White	ATL	  vs.  WAS	34	67	46.571428571429	10.251928638862		
47	Steve Johnson	SD	  vs.  PIT	39	56	45.714285714286	5.3908463611752		
48	Percy Harvin	BUF	  at  TEN	33	56	46.428571428571	8.4491274757836		
49	Charles Johnson	MIN	  	31	69	49	12.524262168174		
50	Rishard Matthews	MIA	  	30	87	56	20.743329392499		
51	Marvin Jones	CIN	  vs.  SEA	34	56	48.857142857143	7.7538667114925		
52	Leonard Hankerson	ATL	  vs.  WAS	35	74	54.285714285714	13.582702084577		
53	Rueben Randle	NYG	  vs.  SF	42	61	51	5.5805785670356		
54	Marques Colston	NO	  at  PHI	42	66	50.5	8.1394102980499		
55	Ted Ginn	CAR	  	31	70	50.4	12.33855745215		
56	Michael Floyd	ARI	  at  DET	44	72	55.142857142857	9.0147271795906		
57	Travis Benjamin	CLE	  at  BAL	33	68	54.8	12.319090875548		
58	Markus Wheaton	PIT	  at  SD	46	77	57.166666666667	11.066716867356		
59	Mohamed Sanu	CIN	  vs.  SEA	26	96	67.666666666667	30.092450142113		
60	Cole Beasley	DAL	  vs.  NE	27	79	64.25	15.147194459701		
61	Philly Brown	CAR	  	31	94	74.285714285714	18.858225077171		
62	Victor Cruz	NYG	  vs.  SF	47	75	58.666666666667	8.8065632090819		
63	Brian Quick	STL	  at  GB	49	85	61.166666666667	12.508885730641		
64	Jaelen Strong	HOU	  vs.  IND	33	94	77.166666666667	22.033434190389		
65	Devante Parker	MIA	  	51	68	59.285714285714	6.5838392124588		
66	Brandon Coleman	NO	  at  PHI	37	84	62.333333333333	14.267289706022		
67	Devin Funchess	CAR	  	48	69	58.833333333333	7.8828223935903		
68	Willie Snead	NO	  at  PHI	41	92	63.5	18.445866745697		
69	Dorial Green-Beckham	TEN	  vs.  BUF	44	65	59.428571428571	7.2082718923102		
70	Brandon LaFell	NE	  at  DAL	40	90	69.166666666667	15.635607510494		
71	Doug Baldwin	SEA	  at  CIN	48	68	60	6.3019271428894		
72	Kamar Aiken	BAL	  vs.  CLE	50	90	71.714285714286	15.387511501347		
73	Jamison Crowder	WAS	  at  ATL	47	124	74.5	29.364093720052		
74	Cecil Shorts	HOU	  vs.  IND	53	82	72.5	9.8784276751583		
75	Breshad Perriman	BAL	  vs.  CLE	57	83	68.5	9.1241437954473		
76	Jermaine Kearse	SEA	  at  CIN	55	83	71.75	10.755812382149		
77	Ty Montgomery	GB	  vs.  STL	57	88	75.714285714286	9.6468245806481		
78	Danny Amendola	NE	  at  DAL	57	77	65.142857142857	6.1743379385641		
79	Kenny Stills	MIA	  	58	87	68.571428571429	9.2095779778778		
80	Marquess Wilson	CHI	  at  KC	60	88	75.714285714286	7.6851300893216		
81	Tavon Austin	STL	  at  GB	60	87	78.833333333333	9.4765793172197		
82	Stefon Diggs	MIN	  	61	86	74.333333333333	10.274023338282		
83	Devin Smith	NYJ	  	63	121	89.75	20.777090749188		
84	Kenny Britt	STL	  at  GB	65	80	70.5	6.291528696059		
85	Dwayne Bowe	CLE	  at  BAL	66	115	82.8	19.803030071179		
86	Aaron Dobson	NE	  at  DAL	66	81	75.25	6.2599920127745		
87	Malcom Floyd	SD	  vs.  PIT	67	90	76	8.0829037686548		
88	Harry Douglas	TEN	  vs.  BUF	67	89	78	11		
89	Phillip Dorsett	IND	  at  HOU	67	87	73.333333333333	6.3944420310836		
90	Cody Latimer	DEN	  at  OAK	68	85	75.2	6.4930732322992		
91	Brenton Bersin	CAR	  	70	82	76	6		
92	Jerricho Cotchery	CAR	  	71	114	87.4	15.317963311093		
93	Kevin White	CHI	  at  KC	71	108	87.4	12.142487389328		
94	Tyler Lockett	SEA	  at  CIN	72	89	78.5	6.6017674401128		
95	Brian Hartline	CLE	  at  BAL	75	97	84.2	8.3761566365488		
96	Andre Caldwell	DEN	  at  OAK	77	96	86.5	9.5		
97	Marlon Brown	BAL	  vs.  CLE	78	95	86.5	8.5		
98	Jeff Janis	GB	  vs.  STL	79	111	89.2	11.77115117565		
99	Nate Washington	HOU	  vs.  IND	79	95	87	8		
100	Marqise Lee	JAC	  at  TB	80	86	83.4	2.3323807579381		
101	Stedman Bailey	STL	  at  GB	80	85	82.25	2.2776083947861		
102	Jordan Norwood	DEN	  at  OAK	82	90	86	4		
103	Andrew Hawkins	CLE	  at  BAL	84	99	89	5.9581876439065		
104	Reggie Wayne	FA		84	92	88	4		
105	Chris Conley	KC	  vs.  CHI	85	112	98.5	13.5		
106	Greg Jennings	MIA	  	88	91	89.5	1.1180339887499		
107	Cordarrelle Patterson	MIN	  	91	91	91	0		
108	Justin Hunter	TEN	  vs.  BUF	93	93	93	0		
109	Albert Wilson	KC	  vs.  CHI	98	98	98	0		
110	Robert Woods	BUF	  at  TEN	100	100	100	0		
111	Jarius Wright	MIN	  	101	101	101	0		
112	Riley Cooper	PHI	  vs.  NO	102	102	102	0		
113	Josh Huff	PHI	  vs.  NO	103	103	103	0		
114	Taylor Gabriel	CLE	  at  BAL	104	104	104	0		
115	Seth Roberts	OAK	  vs.  DEN	105	105	105	0		
116	Darrius Heyward-Bey	PIT	  at  SD	106	106	106	0		
117	Chris Givens	BAL	  vs.  CLE	107	107	107	0		
118	Chris Matthews	SEA	  at  CIN	109	109	109	0		
119	Louis Murphy	TB	  vs.  JAC	110	110	110	0		
120	Ryan Grant	WAS	  at  ATL	113	113	113	0		
121	Jaron Brown	ARI	  at  DET	116	116	116	0		
122	Andre Roberts	WAS	  at  ATL	117	117	117	0		
123	Rod Streater	OAK	  vs.  DEN	118	118	118	0		
124	Sammie Coates	PIT	  at  SD	119	119	119	0		
125	Miles Austin	PHI	  vs.  NO	120	120	120	0		
126	Ricardo Lockette	SEA	  at  CIN	122	122	122	0		
127	Jeremy Kerley	NYJ	  	123	123	123	0		
128	Devin Hester	ATL	  vs.  WAS	125	125	125	0		
129	Justin Hardy	ATL	  vs.  WAS	126	126	126	0		
130	Jason Avant	KC	  vs.  CHI	127	127	127	0		
131	Quinton Patton	SF	  at  NYG	128	128	128	0		
132	Lance Moore	DET	  vs.  ARI	129	129	129	0		
133	Devin Street	DAL	  vs.  NE	130	130	130	0		
134	De'Anthony Thomas	KC	  vs.  CHI	131	131	131	0		
135	Brandon Tate	CIN	  vs.  SEA	132	132	132	0		
136	Kevin Norwood	CAR	  	133	133	133	0		
137	Corey Fuller	DET	  vs.  ARI	134	134	134	0		
138	Andre Holmes	OAK	  vs.  DEN	135	135	135	0		
139	Dontrelle Inman	SD	  vs.  PIT	136	136	136	0		
140	Brice Butler	DAL	  vs.  NE	137	137	137	0		
141	Dwayne Harris	NYG	  vs.  SF	138	138	138	0		
142	Bruce Ellington	SF	  at  NYG	139	139	139	0		
143	Chris Owusu	NYJ	  	140	140	140	0		
