
FantasyPros.com 	 
Week 5 - QB Rankings 	 
Expert Consensus Rankings (ECR) 	 

 Rank 	 Player Name 	Team 	 Matchup 	Best Rank 	 Worst Rank 	 Avg Rank 	 Std Dev 	
1	Aaron Rodgers	GB	  vs.  STL	1	2	1.2222222222222	0.41573970964155		
2	Tom Brady	NE	  at  DAL	1	3	2	0.47140452079103		
3	Andrew Luck	IND	  at  HOU	1	6	3.5555555555556	1.2570787221094		
4	Matt Ryan	ATL	  vs.  WAS	3	6	3.7777777777778	0.9162456945817		
5	Russell Wilson	SEA	  at  CIN	5	8	5.8888888888889	1.0999438818457		
6	Peyton Manning	DEN	  at  OAK	5	12	8.2222222222222	2.2986845406197		
7	Cam Newton	CAR	  	4	15	8.5555555555556	3.6243347622889		
8	Carson Palmer	ARI	  at  DET	3	14	7.5	3.3911649915626		
9	Andy Dalton	CIN	  vs.  SEA	6	14	9.4444444444444	2.1659542988464		
10	Drew Brees	NO	  at  PHI	6	14	10.111111111111	2.4695678634325		
11	Eli Manning	NYG	  vs.  SF	8	13	10.333333333333	1.6996731711976		
12	Philip Rivers	SD	  vs.  PIT	7	16	10.875	3.2185982973959		
13	Ryan Tannehill	MIA	  	9	20	14	3.6514837167011		
14	Matthew Stafford	DET	  vs.  ARI	11	17	14.333333333333	1.7638342073764		
15	Sam Bradford	PHI	  vs.  NO	12	19	15.333333333333	2.1602468994693		
16	Tyrod Taylor	BUF	  at  TEN	10	27	16.875	5.1341381944782		
17	Ben Roethlisberger	PIT	  at  SD	8	26	17.888888888889	5.7628011021733		
18	Derek Carr	OAK	  vs.  DEN	14	27	18.25	4.0543186850567		
19	Tony Romo	DAL	  vs.  NE	10	32	25.333333333333	7.8173595997057		
20	Teddy Bridgewater	MIN	  	13	29	22	5.2201532544553		
21	Joe Flacco	BAL	  vs.  CLE	14	25	20.125	3.3330729064933		
22	Marcus Mariota	TEN	  vs.  BUF	14	23	19.75	2.6339134382132		
23	Jay Cutler	CHI	  at  KC	17	26	21.125	2.5708704751504		
24	Ryan Fitzpatrick	NYJ	  	16	32	24.5	5.3150729063673		
25	Kirk Cousins	WAS	  at  ATL	16	30	26.666666666667	4		
26	Colin Kaepernick	SF	  at  NYG	17	31	23.875	4.1664583281247		
27	Brian Hoyer	HOU	  vs.  IND	17	42	31.857142857143	7.2393482624685		
28	Alex Smith	KC	  vs.  CHI	18	29	22.875	3.0181741169124		
29	Josh McCown	CLE	  at  BAL	18	35	28.5	4.6368092477479		
30	Nick Foles	STL	  at  GB	18	31	26.75	3.6996621467372		
31	Michael Vick	PIT	  at  SD	22	34	28	4.7749345545253		
32	Jameis Winston	TB	  vs.  JAC	23	30	26	2.6186146828319		
33	Blake Bortles	JAC	  at  TB	23	29	26.428571428571	2.128523489393		
34	Johnny Manziel	CLE	  at  BAL	30	35	32.5	2.5		
35	Ryan Mallett	HOU	  vs.  IND	31	34	32.8	1.1661903789691		
36	Brandon Weeden	DAL	  vs.  NE	33	34	33.5	0.5		
37	Jimmy Clausen	CHI	  at  KC	36	37	36.5	0.5		
38	Mark Sanchez	PHI	  vs.  NO	37	38	37.5	0.5		
39	Jimmy Garoppolo	NE	  at  DAL	38	38	38	0		
40	Geno Smith	NYJ	  	39	39	39	0		
41	Robert Griffin III	WAS	  at  ATL	40	40	40	0		
42	Zach Mettenberger	TEN	  vs.  BUF	41	41	41	0		
43	Colt McCoy	WAS	  at  ATL	43	43	43	0		
44	Derek Anderson	CAR	  	44	44	44	0		
45	Matt Cassel	DAL	  vs.  NE	45	45	45	0		
46	Brock Osweiler	DEN	  at  OAK	46	46	46	0		
47	Mike Glennon	TB	  vs.  JAC	47	47	47	0		
48	Matt McGloin	OAK	  vs.  DEN	48	48	48	0		
49	Drew Stanton	ARI	  at  DET	49	49	49	0		
50	E.J. Manuel	BUF	  at  TEN	50	50	50	0		
