
FantasyPros.com 	 
Week 5 - RB Rankings 	 
Expert Consensus Rankings (ECR) 	 

 Rank 	 Player Name 	Team 	 Matchup 	Best Rank 	 Worst Rank 	 Avg Rank 	 Std Dev 	
1	Le'Veon Bell	PIT	  at  SD	1	2	1.125	0.33071891388307		
2	Jamaal Charles	KC	  vs.  CHI	1	3	2	0.5		
3	Adrian Peterson	MIN	  	3	6	3.875	1.053268721647		
4	Matt Forte	CHI	  at  KC	3	5	4.125	0.7806247497998		
5	Eddie Lacy	GB	  vs.  STL	2	9	4.75	1.9843134832984		
6	Marshawn Lynch	SEA	  at  CIN	4	12	7.625	2.5950674365033		
7	Latavius Murray	OAK	  vs.  DEN	7	21	11.25	4.1758232721225		
8	Arian Foster	HOU	  vs.  IND	6	22	12	5.2201532544553		
9	Jeremy Hill	CIN	  vs.  SEA	6	18	12.125	3.789376597806		
10	Justin Forsett	BAL	  vs.  CLE	8	16	12.125	2.8912583765551		
11	Frank Gore	IND	  at  HOU	8	15	12.75	2.1065374432941		
12	Mark Ingram	NO	  at  PHI	8	17	13	3.0413812651491		
13	Carlos Hyde	SF	  at  NYG	6	28	15.25	7.964766161037		
14	Devonta Freeman	ATL	  vs.  WAS	7	38	17.125	12.282482444522		
15	Christopher Ivory	NYJ	  	12	23	17.625	2.9973947020704		
16	Dion Lewis	NE	  at  DAL	5	47	18.25	13.386093530228		
17	Todd Gurley	STL	  at  GB	9	34	18.875	9.2795137264837		
18	Danny Woodhead	SD	  vs.  PIT	5	33	20.125	7.9755485704746		
19	LeSean McCoy	BUF	  at  TEN	11	37	21.375	7.4151449749819		
20	DeMarco Murray	PHI	  vs.  NO	7	31	21.625	6.4795350913472		
21	Lamar Miller	MIA	  	9	34	21.625	9.5516687023787		
22	Ameer Abdullah	DET	  vs.  ARI	20	26	23	2		
23	Joseph Randle	DAL	  vs.  NE	17	30	23.125	3.9508701573198		
24	Melvin Gordon	SD	  vs.  PIT	16	31	23.5	5.4543560573179		
25	Jonathan Stewart	CAR	  	14	38	25.625	8.2604100987784		
26	C.J. Spiller	NO	  at  PHI	21	31	26	3.1622776601684		
27	C.J. Anderson	DEN	  at  OAK	8	35	26.125	8.2072757355897		
28	Giovani Bernard	CIN	  vs.  SEA	15	31	23.571428571429	5.2876444352348		
29	LeGarrette Blount	NE	  at  DAL	18	40	27.25	6.7592529172979		
30	T.J. Yeldon	JAC	  at  TB	18	31	24.285714285714	4.1649656391752		
31	Doug Martin	TB	  vs.  JAC	17	41	28.75	7.8859051477938		
32	Alfred Morris	WAS	  at  ATL	24	45	32.75	6.703543838896		
33	Darren Sproles	PHI	  vs.  NO	23	38	30.857142857143	5.5659313539366		
34	Andre Ellington	ARI	  at  DET	28	44	34.125	5.1341381944782		
35	Matt Jones	WAS	  at  ATL	13	43	35.428571428571	9.4846815272559		
36	Tevin Coleman	ATL	  vs.  WAS	11	48	35.571428571429	11.524596588628		
37	Karlos Williams	BUF	  at  TEN	19	73	37.166666666667	16.816823586978		
38	Shane Vereen	NYG	  vs.  SF	28	52	36.428571428571	6.9868681489357		
39	Ronnie Hillman	DEN	  at  OAK	27	51	38.428571428571	8.9099806454358		
40	Rashad Jennings	NYG	  vs.  SF	29	51	39.142857142857	6.6209315578608		
41	Isaiah Crowell	CLE	  at  BAL	34	45	40	3.6645015252516		
42	Chris Johnson	ARI	  at  DET	26	45	40.857142857143	6.1511571833174		
43	Duke Johnson	CLE	  at  BAL	36	53	42.857142857143	5.1110125199995		
44	Bishop Sankey	TEN	  vs.  BUF	32	54	43.285714285714	6.839262402049		
45	David Johnson	ARI	  at  DET	35	49	43.857142857143	4.9404618473687		
46	Ryan Mathews	PHI	  vs.  NO	34	49	44.142857142857	5.2760529464627		
47	Roy Helu	OAK	  vs.  DEN	32	68	48.666666666667	11.160446028522		
48	Joique Bell	DET	  vs.  ARI	39	55	47.428571428571	6.6944997222057		
49	Tre Mason	STL	  at  GB	37	57	48.428571428571	6.4554991586829		
50	Darren McFadden	DAL	  vs.  NE	44	53	48.571428571429	3.6589281356759		
51	Charles Sims	TB	  vs.  JAC	43	58	49.857142857143	4.9404618473687		
52	Antonio Andrews	TEN	  vs.  BUF	41	87	58	16.149303390549		
53	Andre Williams	NYG	  vs.  SF	43	57	52.857142857143	4.642307659792		
54	Thomas Rawls	SEA	  at  CIN	45	66	54	7.7717436910902		
55	Reggie Bush	SF	  at  NYG	48	67	53.142857142857	6.7066826253174		
56	Theo Riddick	DET	  vs.  ARI	46	65	55.8	6.1449165982949		
57	Anthony Dixon	BUF	  at  TEN	47	97	75	18.121810064119		
58	Chris Thompson	WAS	  at  ATL	49	99	68	17.504285189633		
59	James Starks	GB	  vs.  STL	49	70	60.571428571429	7.3262179456903		
60	Alfred Blue	HOU	  vs.  IND	50	68	58	5.6568542494924		
61	DeAngelo Williams	PIT	  at  SD	51	76	59.142857142857	8.7738014473052		
62	Christine Michael	DAL	  vs.  NE	51	75	63	9.0237781127736		
63	Jerick McKinnon	MIN	  	52	64	60.833333333333	4.1399141161247		
64	Dexter McCluster	TEN	  vs.  BUF	54	77	64.5	8.2613558209292		
65	Denard Robinson	JAC	  at  TB	54	72	61.333333333333	6.7741338109672		
66	Knile Davis	KC	  vs.  CHI	55	107	71.666666666667	17.374950039896		
67	Khiry Robinson	NO	  at  PHI	56	71	60.571428571429	4.6860627048162		
68	Josh Robinson	IND	  at  HOU	56	66	61	3.7032803990902		
69	Fred Jackson	SEA	  at  CIN	57	70	65.857142857143	4.5490523794545		
70	Damien Williams	MIA	  	58	71	67.833333333333	4.7404875511093		
71	Marcel Reece	OAK	  vs.  DEN	59	93	73.333333333333	14.383632673594		
72	Jacquizz Rodgers	CHI	  at  KC	60	88	75.333333333333	11.585431464655		
73	Benny Cunningham	STL	  at  GB	60	80	69	8.7407093533649		
74	Lorenzo Taliaferro	BAL	  vs.  CLE	60	70	64.285714285714	3.4522988495984		
75	Terrance West	TEN	  vs.  BUF	61	90	69.166666666667	10.188501143719		
76	Bilal Powell	NYJ	  	61	70	65.25	3.832427429189		
77	James White	NE	  at  DAL	62	93	77	12.82185633986		
78	Cameron Artis-Payne	CAR	  	63	83	70.333333333333	6.8231631634862		
79	Charcandrick West	KC	  vs.  CHI	64	84	72.666666666667	8.3798700599844		
80	Javorius Allen	BAL	  vs.  CLE	65	83	73.4	6.9455021416741		
81	Chris Polk	HOU	  vs.  IND	65	80	72.428571428571	4.9528388066742		
82	Robert Turbin	CLE	  at  BAL	65	65	65	0		
83	Brandon Bolden	NE	  at  DAL	67	76	71.5	4.5		
84	Mike Tolbert	CAR	  	68	90	81.25	8.466847110938		
85	Branden Oliver	SD	  vs.  PIT	69	82	75.2	5.3065996645686		
86	Ahmad Bradshaw	FA		71	71	71	0		
87	Jay Ajayi	MIA	  	72	100	86	14		
88	Jeremy Langford	CHI	  at  KC	72	76	74	1.6329931618555		
89	David Cobb	TEN	  vs.  BUF	73	89	81	6.5319726474218		
90	Stevan Ridley	NYJ	  	74	92	83.666666666667	7.4087035902976		
91	Jonathan Grimes	HOU	  vs.  IND	74	91	83.666666666667	7.1336448530109		
92	Zach Zenner	DET	  vs.  ARI	75	95	84	8.286535263104		
93	Toby Gerhart	JAC	  at  TB	79	90	86	4.9665548085838		
94	Zac Stacy	NYJ	  	81	85	82.666666666667	1.6996731711976		
95	Juwan Thompson	DEN	  at  OAK	83	83	83	0		
96	Matt Asiata	MIN	  	84	86	85	1		
97	Mike Davis	SF	  at  NYG	84	85	84.5	0.5		
98	Bernard Pierce	JAC	  at  TB	86	86	86	0		
99	Jonas Gray	MIA	  	87	96	91.5	4.5		
100	Bobby Rainey	TB	  vs.  JAC	88	88	88	0		
101	Tyler Varga	IND	  at  HOU	91	91	91	0		
102	Taiwan Jones	OAK	  vs.  DEN	92	92	92	0		
103	Jarryd Hayne	SF	  at  NYG	94	103	98.5	4.5		
104	Jordan Todman	PIT	  at  SD	94	94	94	0		
105	Dri Archer	PIT	  at  SD	98	98	98	0		
106	Terron Ward	ATL	  vs.  WAS	101	101	101	0		
107	Ka'Deem Carey	CHI	  at  KC	102	102	102	0		
108	Stepfan Taylor	ARI	  at  DET	104	104	104	0		
109	Fozzy Whittaker	CAR	  	105	105	105	0		
110	Montee Ball	FA		106	106	106	0		
