
FantasyPros.com 	 
Week 5 - TE Rankings 	 
Expert Consensus Rankings (ECR) 	 

 Rank 	 Player Name 	Team 	 Matchup 	Best Rank 	 Worst Rank 	 Avg Rank 	 Std Dev 	
1	Rob Gronkowski	NE	  at  DAL	1	1	1	0		
2	Travis Kelce	KC	  vs.  CHI	2	4	2.875	0.59947894041409		
3	Greg Olsen	CAR	  	2	5	3	1.1180339887499		
4	Jimmy Graham	SEA	  at  CIN	2	5	3.875	1.1659223816361		
5	Martellus Bennett	CHI	  at  KC	3	10	5.8571428571429	1.9587584572574		
6	Tyler Eifert	CIN	  vs.  SEA	4	10	7	1.8516401995451		
7	Jason Witten	DAL	  vs.  NE	6	11	8.1428571428571	1.8844151368961		
8	Delanie Walker	TEN	  vs.  BUF	6	18	10.142857142857	3.6027200608339		
9	Heath Miller	PIT	  at  SD	4	20	11.875	4.8072211307574		
10	Jordan Reed	WAS	  at  ATL	3	26	12.142857142857	6.5558822317622		
11	Zach Ertz	PHI	  vs.  NO	6	22	12.428571428571	5.473498303048		
12	Antonio Gates	SD	  vs.  PIT	5	26	14.714285714286	6.922309394049		
13	Jordan Cameron	MIA	  	7	22	14	4.6598589800857		
14	Charles Clay	BUF	  at  TEN	8	24	15	5.9039938056491		
15	Eric Ebron	DET	  vs.  ARI	10	18	14.428571428571	2.321153829896		
16	Larry Donnell	NYG	  vs.  SF	7	24	16.571428571429	4.8064582403602		
17	Kyle Rudolph	MIN	  	10	23	17.142857142857	5.0829848213306		
18	Julius Thomas	JAC	  at  TB	10	21	17	4.2088342464732		
19	Ladarius Green	SD	  vs.  PIT	12	25	19.285714285714	4.8318670072251		
20	Owen Daniels	DEN	  at  OAK	15	28	19.714285714286	4.233009254294		
21	Coby Fleener	IND	  at  HOU	15	27	20.714285714286	4.4308749769345		
22	Gary Barnidge	CLE	  at  BAL	10	42	23	11.70469991072		
23	Richard Rodgers	GB	  vs.  STL	13	28	22.714285714286	4.9775003971955		
24	Austin Seferian-Jenkins	TB	  vs.  JAC	12	31	23.714285714286	5.4958240176204		
25	Vernon Davis	SF	  at  NYG	14	30	22.714285714286	5.1745057932214		
26	Jared Cook	STL	  at  GB	18	31	23.428571428571	5.2059620452253		
27	Josh Hill	NO	  at  PHI	17	29	26	4.0824829046386		
28	Crockett Gillmore	BAL	  vs.  CLE	17	27	23.8	3.5440090293339		
29	Dwayne Allen	IND	  at  HOU	19	29	23.142857142857	3.4404555939407		
30	Benjamin Watson	NO	  at  PHI	20	39	29.666666666667	5.8499762582614		
31	Mychal Rivera	OAK	  vs.  DEN	25	34	30.666666666667	2.8087165910588		
32	Maxx Williams	BAL	  vs.  CLE	26	31	29	1.7888543819998		
33	Virgil Green	DEN	  at  OAK	27	34	31.166666666667	2.5440562537456		
34	Scott Chandler	NE	  at  DAL	27	32	29.333333333333	2.0548046676563		
35	Jake Stoneburner	MIA	  	29	35	32	3		
36	Jacob Tamme	ATL	  vs.  WAS	30	35	32	1.870828693387		
37	Garrett Graham	HOU	  vs.  IND	32	32	32	0		
38	Darren Fells	ARI	  at  DET	33	38	35.5	2.5		
39	Jermaine Gresham	ARI	  at  DET	33	33	33	0		
40	Brent Celek	PHI	  vs.  NO	35	37	36	1		
41	Brandon Myers	TB	  vs.  JAC	36	40	38	2		
42	Gavin Escobar	DAL	  vs.  NE	36	36	36	0		
43	Levine Toilolo	ATL	  vs.  WAS	41	41	41	0		
44	Jeff Cumberland	NYJ	  	43	43	43	0		
45	Dion Sims	MIA	  	44	44	44	0		
46	Marcedes Lewis	JAC	  at  TB	45	45	45	0		
47	Troy Niklas	ARI	  at  DET	46	46	46	0		
48	MyCole Pruitt	MIN	  	47	47	47	0		
49	Luke Willson	SEA	  at  CIN	48	48	48	0		
50	Rob Housler	CLE	  at  BAL	49	49	49	0		
