
FantasyPros.com 	 
Week 5 - WR Rankings 	 
Expert Consensus Rankings (ECR) 	 

 Rank 	 Player Name 	Team 	 Matchup 	Best Rank 	 Worst Rank 	 Avg Rank 	 Std Dev 	
1	Julio Jones	ATL	  vs.  WAS	1	4	2.125	0.92702481088696		
2	Antonio Brown	PIT	  at  SD	1	6	3	1.5811388300842		
3	A.J. Green	CIN	  vs.  SEA	1	8	3.5	2		
4	Odell Beckham Jr.	NYG	  vs.  SF	2	9	4.75	1.9843134832984		
5	Demaryius Thomas	DEN	  at  OAK	4	10	6	2.0615528128088		
6	Randall Cobb	GB	  vs.  STL	5	10	7.125	1.615355997915		
7	DeAndre Hopkins	HOU	  vs.  IND	5	11	7.5	1.870828693387		
8	Julian Edelman	NE	  at  DAL	1	14	7.625	5.4757990284524		
9	Calvin Johnson	DET	  vs.  ARI	6	13	9.25	2.1650635094611		
10	Emmanuel Sanders	DEN	  at  OAK	7	18	12.25	4.5483513496651		
11	Keenan Allen	SD	  vs.  PIT	6	16	12.5	3.0822070014845		
12	Amari Cooper	OAK	  vs.  DEN	10	17	13.25	2.0463381929681		
13	Jordan Matthews	PHI	  vs.  NO	8	24	13.625	4.7680577806902		
14	Brandon Marshall	NYJ	  	2	20	14.875	5.4414497149197		
15	Larry Fitzgerald	ARI	  at  DET	5	24	14.875	5.882973312875		
16	T.Y. Hilton	IND	  at  HOU	13	18	15.625	1.4086784586981		
17	Mike Evans	TB	  vs.  JAC	7	35	17.25	7.9804448497562		
18	Jarvis Landry	MIA	  	12	24	18.25	4.2056509603152		
19	Jeremy Maclin	KC	  vs.  CHI	16	27	19.375	3.1991209730174		
20	Allen Robinson	JAC	  at  TB	16	23	20	2.1213203435596		
21	Alshon Jeffery	CHI	  at  KC	10	45	21	10.677078252031		
22	James Jones	GB	  vs.  STL	15	49	26.875	10.385536818095		
23	Brandin Cooks	NO	  at  PHI	9	35	27.5	8		
24	Steve Smith	BAL	  vs.  CLE	22	42	27.875	6.3134281495872		
25	Golden Tate	DET	  vs.  ARI	22	57	28.375	11.368129793418		
26	Pierre Garcon	WAS	  at  ATL	22	38	25.571428571429	5.2059620452253		
27	Eric Decker	NYJ	  	21	29	26.142857142857	2.5872528966107		
28	Vincent Jackson	TB	  vs.  JAC	21	31	26.714285714286	3.1493439550069		
29	Sammy Watkins	BUF	  at  TEN	27	38	31	3.5		
30	Kendall Wright	TEN	  vs.  BUF	24	37	28.571428571429	4.4354784846457		
31	Davante Adams	GB	  vs.  STL	20	46	33	8.6890735984914		
32	Mike Wallace	MIN	  	27	40	33	4.5276925690687		
33	Donte Moncrief	IND	  at  HOU	19	69	36.75	15.610493265749		
34	John Brown	ARI	  at  DET	25	41	33.714285714286	5.1189922477625		
35	Anquan Boldin	SF	  at  NYG	23	53	37.375	9.99921871948		
36	Martavis Bryant	PIT	  at  SD	36	49	40.285714285714	4.1991252733426		
37	Michael Crabtree	OAK	  vs.  DEN	29	55	41.428571428571	10.860901604999		
38	Eddie Royal	CHI	  at  KC	38	49	41.571428571429	3.6977654587271		
39	Andre Johnson	IND	  at  HOU	13	60	41.714285714286	16.139696277141		
40	Terrance Williams	DAL	  vs.  NE	36	50	42.142857142857	4.4858052766022		
41	DeSean Jackson	WAS	  at  ATL	34	60	42.857142857143	10.507528884819		
42	Allen Hurns	JAC	  at  TB	28	59	43.428571428571	10.554039752722		
43	Roddy White	ATL	  vs.  WAS	31	67	44.285714285714	11.131862707873		
