
FantasyPros.com 	 
Week 5 - RB Rankings 	 
Expert Consensus Rankings (ECR) 	 

 Rank 	 Player Name 	Team 	 Matchup 	Best Rank 	 Worst Rank 	 Avg Rank 	 Std Dev 	
1	Le'Veon Bell	PIT	  at  SD	1	2	1.1111111111111	0.31426968052735		
2	Adrian Peterson	MIN	  	2	3	2.6666666666667	0.47140452079103		
3	Jamaal Charles	KC	  vs.  CHI	1	4	2.7777777777778	1.1331154474651		
4	Eddie Lacy	GB	  vs.  STL	2	5	3.6666666666667	0.94280904158206		
5	Matt Forte	CHI	  at  KC	4	8	5.2222222222222	1.1331154474651		
6	Marshawn Lynch	SEA	  at  CIN	5	11	6.6666666666667	1.8856180831641		
7	Jeremy Hill	CIN	  vs.  SEA	6	14	8.8888888888889	2.7666443551086		
8	Mark Ingram	NO	  at  PHI	7	14	9.7777777777778	2.1998877636915		
9	Latavius Murray	OAK	  vs.  DEN	8	16	11	2.3094010767585		
10	Arian Foster	HOU	  vs.  IND	6	21	11.222222222222	5.2868343348313		
11	Carlos Hyde	SF	  at  NYG	7	28	12.555555555556	6.2735974282192		
12	Justin Forsett	BAL	  vs.  CLE	8	21	13.888888888889	3.3481153718487		
13	Frank Gore	IND	  at  HOU	10	18	14.777777777778	2.4393887111222		
14	Christopher Ivory	NYJ	  	11	21	15.111111111111	2.8458329944146		
15	Todd Gurley	STL	  at  GB	9	29	16.222222222222	7.5096645549848		
16	Joseph Randle	DAL	  vs.  NE	15	23	18.666666666667	3.0184617127125		
17	Devonta Freeman	ATL	  vs.  WAS	7	43	19.666666666667	11.642832797715		
18	Lamar Miller	MIA	  	10	34	20.222222222222	8.8037590175735		
19	DeMarco Murray	PHI	  vs.  NO	7	30	20.777777777778	5.7111543448428		
20	LeSean McCoy	BUF	  at  TEN	10	34	21	6.5996632910744		
21	Melvin Gordon	SD	  vs.  PIT	15	29	22.111111111111	4.5569103676466		
22	Jonathan Stewart	CAR	  	12	32	23.333333333333	6.9602043392737		
23	Dion Lewis	NE	  at  DAL	15	54	24.888888888889	11.647073494559		
24	Ameer Abdullah	DET	  vs.  ARI	22	28	25	1.8856180831641		
25	T.J. Yeldon	JAC	  at  TB	17	27	21.875	3.0998991919093		
26	Doug Martin	TB	  vs.  JAC	17	31	25.555555555556	4.1126123385159		
27	C.J. Anderson	DEN	  at  OAK	9	35	25.666666666667	7.4386378681405		
28	LeGarrette Blount	NE	  at  DAL	18	37	26	6.2360956446232		
29	Alfred Morris	WAS	  at  ATL	17	36	27.333333333333	6.4635731432218		
30	Giovani Bernard	CIN	  vs.  SEA	21	33	26.75	4.3229041164476		
31	Danny Woodhead	SD	  vs.  PIT	22	41	30.444444444444	5.5198854881663		
32	C.J. Spiller	NO	  at  PHI	27	37	31.777777777778	3.794082461992		
33	Tevin Coleman	ATL	  vs.  WAS	14	48	32.75	9.8075226229665		
34	Andre Ellington	ARI	  at  DET	30	49	36.555555555556	6.7513144582059		
35	Isaiah Crowell	CLE	  at  BAL	31	44	35.875	3.9508701573198		
36	Ronnie Hillman	DEN	  at  OAK	24	50	36.625	8.4548432865429		
37	Chris Johnson	ARI	  at  DET	20	46	36.75	8.2726960538871		
38	Rashad Jennings	NYG	  vs.  SF	26	43	37.25	5.4715171570598		
39	Karlos Williams	BUF	  at  TEN	25	74	39.428571428571	14.763440780302		
40	Ryan Mathews	PHI	  vs.  NO	30	44	38.75	4.1758232721225		
41	Matt Jones	WAS	  at  ATL	20	46	39.25	7.8541390362025		
42	Bishop Sankey	TEN	  vs.  BUF	30	53	41	6.4226162893326		
