
FantasyPros.com 	 
Week 5 - TE Rankings 	 
Expert Consensus Rankings (ECR) 	 

 Rank 	 Player Name 	Team 	 Matchup 	Best Rank 	 Worst Rank 	 Avg Rank 	 Std Dev 	
1	Rob Gronkowski	NE	  at  DAL	1	1	1	0		
2	Greg Olsen	CAR	  	2	4	2.6666666666667	0.81649658092773		
3	Travis Kelce	KC	  vs.  CHI	2	4	3.2222222222222	0.78567420131839		
4	Jimmy Graham	SEA	  at  CIN	2	5	3.4444444444444	1.0657403385139		
5	Tyler Eifert	CIN	  vs.  SEA	3	8	5.625	1.4086784586981		
6	Martellus Bennett	CHI	  at  KC	4	10	6.125	1.6909686573086		
7	Jason Witten	DAL	  vs.  NE	5	9	7.875	1.4523687548278		
8	Delanie Walker	TEN	  vs.  BUF	7	15	10	2.8284271247462		
9	Jordan Cameron	MIA	  	7	15	10.375	2.3418742493994		
10	Jordan Reed	WAS	  at  ATL	6	26	13	5.5901699437495		
11	Antonio Gates	SD	  vs.  PIT	6	28	14.125	6.8453907850465		
12	Zach Ertz	PHI	  vs.  NO	7	23	13.75	5.9529404498953		
13	Charles Clay	BUF	  at  TEN	7	25	14.875	6.75347132962		
14	Heath Miller	PIT	  at  SD	5	25	16.333333333333	5.2493385826745		
15	Dwayne Allen	IND	  at  HOU	12	20	16	2.4494897427832		
16	Kyle Rudolph	MIN	  	9	24	17.125	5.7973593126526		
17	Julius Thomas	JAC	  at  TB	13	21	16.375	2.4968730444298		
18	Owen Daniels	DEN	  at  OAK	11	28	18.25	4.789311015167		
19	Eric Ebron	DET	  vs.  ARI	12	21	17.625	3.3888604279315		
20	Ladarius Green	SD	  vs.  PIT	12	26	19.5	5.2440442408508		
21	Coby Fleener	IND	  at  HOU	13	27	19.875	5.3018275151121		
22	Richard Rodgers	GB	  vs.  STL	11	27	21.5	5.3385391260157		
23	Larry Donnell	NYG	  vs.  SF	14	27	21.125	4.0754600967253		
24	Gary Barnidge	CLE	  at  BAL	10	41	24	11.067971810589		
25	Austin Seferian-Jenkins	TB	  vs.  JAC	12	31	23.125	5.3953104637268		
26	Vernon Davis	SF	  at  NYG	12	30	22.5	5.4313902456001		
27	Crockett Gillmore	BAL	  vs.  CLE	17	28	22.666666666667	3.5433819375782		
28	Josh Hill	NO	  at  PHI	19	29	25	3.1167748898959		
29	Jared Cook	STL	  at  GB	21	31	25.875	3.4072532926098		
30	Benjamin Watson	NO	  at  PHI	24	40	30.714285714286	4.5580160381554		
31	Mychal Rivera	OAK	  vs.  DEN	26	34	30.833333333333	2.4776781245531		
32	Virgil Green	DEN	  at  OAK	27	34	31	2.3804761428476		
33	Scott Chandler	NE	  at  DAL	27	32	29.333333333333	2.0548046676563		
34	Maxx Williams	BAL	  vs.  CLE	27	31	29.333333333333	1.2472191289246		
35	Jake Stoneburner	MIA	  	29	35	32	3		
36	Jacob Tamme	ATL	  vs.  WAS	30	36	32.25	2.2776083947861		
37	Garrett Graham	HOU	  vs.  IND	32	32	32	0		
38	Darren Fells	ARI	  at  DET	33	37	35	2		
39	Jermaine Gresham	ARI	  at  DET	34	34	34	0		
40	Brent Celek	PHI	  vs.  NO	35	38	36.5	1.5		
41	Gavin Escobar	DAL	  vs.  NE	35	35	35	0		
42	Brandon Myers	TB	  vs.  JAC	36	43	39.5	3.5		
43	Marcedes Lewis	JAC	  at  TB	39	39	39	0		
44	Jeff Cumberland	NYJ	  	42	42	42	0		
45	Dion Sims	MIA	  	44	44	44	0		
46	Levine Toilolo	ATL	  vs.  WAS	45	45	45	0		
47	Rob Housler	CLE	  at  BAL	46	46	46	0		
48	Luke Willson	SEA	  at  CIN	47	47	47	0		
49	Troy Niklas	ARI	  at  DET	48	48	48	0		
50	MyCole Pruitt	MIN	  	49	49	49	0		
