
FantasyPros.com 	 
Week 5 - WR Rankings 	 
Expert Consensus Rankings (ECR) 	 

 Rank 	 Player Name 	Team 	 Matchup 	Best Rank 	 Worst Rank 	 Avg Rank 	 Std Dev 	
1	Julio Jones	ATL	  vs.  WAS	1	2	1.2222222222222	0.41573970964155		
2	Antonio Brown	PIT	  at  SD	1	6	2.7777777777778	1.5475986974649		
3	Odell Beckham Jr.	NYG	  vs.  SF	2	5	3	1.0540925533895		
4	A.J. Green	CIN	  vs.  SEA	3	7	4.6666666666667	1.5634719199411		
5	Demaryius Thomas	DEN	  at  OAK	3	10	4.8888888888889	2.0245407953654		
6	Randall Cobb	GB	  vs.  STL	4	8	6	1.2472191289246		
7	Calvin Johnson	DET	  vs.  ARI	4	14	7.2222222222222	2.8974232912012		
8	DeAndre Hopkins	HOU	  vs.  IND	6	11	8.4444444444444	1.6405358955815		
9	Emmanuel Sanders	DEN	  at  OAK	6	16	11.333333333333	3.5276684147528		
10	Amari Cooper	OAK	  vs.  DEN	10	16	12.777777777778	1.9309052441092		
11	Julian Edelman	NE	  at  DAL	8	18	13.222222222222	3.2584173996923		
12	Jordan Matthews	PHI	  vs.  NO	9	24	13.222222222222	4.3404499965832		
13	Mike Evans	TB	  vs.  JAC	8	24	14	4.8762462794426		
14	Keenan Allen	SD	  vs.  PIT	9	18	14	2.6666666666667		
15	Brandon Marshall	NYJ	  	8	21	14.444444444444	3.744955454745		
16	T.Y. Hilton	IND	  at  HOU	12	18	15.111111111111	1.7284832429004		
17	Alshon Jeffery	CHI	  at  KC	8	45	16.333333333333	10.728984626287		
18	Larry Fitzgerald	ARI	  at  DET	9	31	17.888888888889	6.8709443705512		
19	Jeremy Maclin	KC	  vs.  CHI	17	23	19.777777777778	1.9876159799998		
20	Jarvis Landry	MIA	  	17	27	22	3.3665016461207		
21	Allen Robinson	JAC	  at  TB	19	25	22	1.7638342073764		
22	Brandin Cooks	NO	  at  PHI	10	34	25	7.0237691685685		
23	James Jones	GB	  vs.  STL	13	52	26.666666666667	10.645812948448		
24	Vincent Jackson	TB	  vs.  JAC	20	27	23.75	2.4366985862022		
25	Sammy Watkins	BUF	  at  TEN	24	37	28.777777777778	3.6141013260646		
26	Golden Tate	DET	  vs.  ARI	21	58	31	11.264496832477		
27	Eric Decker	NYJ	  	18	33	27.625	5.2900259923747		
28	Donte Moncrief	IND	  at  HOU	19	70	32.555555555556	16.425664952622		
29	Steve Smith	BAL	  vs.  CLE	23	41	32.111111111111	5.1086950811434		
30	Davante Adams	GB	  vs.  STL	19	47	32.222222222222	9.8407065891042		
31	Mike Wallace	MIN	  	28	37	32.333333333333	3.6514837167011		
32	John Brown	ARI	  at  DET	20	42	31.625	6.3823487056099		
33	Pierre Garcon	WAS	  at  ATL	22	44	32.25	5.9529404498953		
34	Martavis Bryant	PIT	  at  SD	24	43	32.75	6.0981554588252		
35	Kendall Wright	TEN	  vs.  BUF	25	42	34.5	5.9160797830996		
36	Dez Bryant	DAL	  vs.  NE	20	58	38	14.730919862656		
37	DeSean Jackson	WAS	  at  ATL	23	59	38	12.051970793194		
38	Terrance Williams	DAL	  vs.  NE	32	45	38	4.062019202318		
39	Anquan Boldin	SF	  at  NYG	29	54	41	7.7602978178819		
40	Torrey Smith	SF	  at  NYG	34	51	41.625	5.0233828243525		
41	Nelson Agholor	PHI	  vs.  NO	28	53	42.5	7.5663729752108		
42	Andre Johnson	IND	  at  HOU	14	64	44.25	18.376275465937		
43	Allen Hurns	JAC	  at  TB	26	61	43.75	10.836858400847		
44	Eddie Royal	CHI	  at  KC	39	50	44.5	3.3166247903554		
