
FantasyPros.com 	 
Week 5 - RB Rankings 	 
Expert Consensus Rankings (ECR) 	 

 Rank 	 Player Name 	Team 	 Matchup 	Best Rank 	 Worst Rank 	 Avg Rank 	 Std Dev 	
1	Le'Veon Bell	PIT	  at  SD	1	1	1	0		
2	Jamaal Charles	KC	  vs.  CHI	2	4	2.4	0.8		
3	Adrian Peterson	MIN	  	3	3	3	0		
4	Eddie Lacy	GB	  vs.  STL	2	5	4	1.0954451150103		
5	Matt Forte	CHI	  at  KC	4	6	4.8	0.74833147735479		
6	Marshawn Lynch	SEA	  at  CIN	5	7	6	0.63245553203368		
7	Latavius Murray	OAK	  vs.  DEN	9	14	10.6	1.7435595774163		
8	Jeremy Hill	CIN	  vs.  SEA	6	17	10.8	4.3543082114154		
9	Arian Foster	HOU	  vs.  IND	7	18	11.4	3.9293765408777		
10	Mark Ingram	NO	  at  PHI	8	16	11.4	2.6532998322843		
11	Frank Gore	IND	  at  HOU	8	14	12	2.0976176963403		
12	Carlos Hyde	SF	  at  NYG	7	29	13.8	8.059776671844		
13	Justin Forsett	BAL	  vs.  CLE	12	16	14.2	1.3266499161422		
14	Devonta Freeman	ATL	  vs.  WAS	7	38	15.8	11.232096865679		
15	LeSean McCoy	BUF	  at  TEN	10	21	16.4	3.9293765408777		
16	Todd Gurley	STL	  at  GB	9	31	16.6	7.5259550888907		
17	Christopher Ivory	NYJ	  	16	22	18	2.0976176963403		
18	DeMarco Murray	PHI	  vs.  NO	7	31	19.6	7.6315136113356		
19	Joseph Randle	DAL	  vs.  NE	18	25	20.8	2.4819347291982		
20	Melvin Gordon	SD	  vs.  PIT	16	30	22.2	4.7497368348152		
21	LeGarrette Blount	NE	  at  DAL	19	28	24	3.4641016151378		
22	Ameer Abdullah	DET	  vs.  ARI	21	27	24.2	2.4		
23	Jonathan Stewart	CAR	  	17	32	24.4	6.4992307237088		
24	T.J. Yeldon	JAC	  at  TB	18	28	24.4	3.4409301068171		
25	Lamar Miller	MIA	  	11	34	24.8	9.4106322848149		
26	Dion Lewis	NE	  at  DAL	12	50	25.4	13.937001112147		
27	Giovani Bernard	CIN	  vs.  SEA	20	30	25.6	3.7202150475477		
28	C.J. Anderson	DEN	  at  OAK	9	35	25.8	8.8181630740194		
29	Danny Woodhead	SD	  vs.  PIT	20	39	27	6.5421708935184		
30	Alfred Morris	WAS	  at  ATL	21	37	27.4	5.4626001134991		
31	Doug Martin	TB	  vs.  JAC	20	35	27.8	5.3814496188295		
32	C.J. Spiller	NO	  at  PHI	24	34	30	4.1472882706655		
33	Karlos Williams	BUF	  at  TEN	23	35	31	4.6904157598234		
34	Ronnie Hillman	DEN	  at  OAK	25	51	35.2	8.7726848797845		
35	Andre Ellington	ARI	  at  DET	30	45	36	5.6920997883031		
36	Darren Sproles	PHI	  vs.  NO	27	43	37.4	5.8855755878249		
37	Chris Johnson	ARI	  at  DET	22	44	38	8.173126696681		
38	Isaiah Crowell	CLE	  at  BAL	34	44	38.2	4.0199502484484		
39	Tevin Coleman	ATL	  vs.  WAS	28	48	39.4	6.9166465863162		
40	Shane Vereen	NYG	  vs.  SF	32	54	40.4	7.3918874450305		
41	Matt Jones	WAS	  at  ATL	36	45	39.8	3.1874754901018		
42	Rashad Jennings	NYG	  vs.  SF	33	47	40.4	4.5431266766402		
43	Ryan Mathews	PHI	  vs.  NO	34	46	41	4.5607017003966		
44	Bishop Sankey	TEN	  vs.  BUF	34	53	43.6	6.3435006108615		
45	Duke Johnson	CLE	  at  BAL	38	52	43.4	4.7159304490206		
46	David Johnson	ARI	  at  DET	36	48	44	4.3358966777358		
47	Joique Bell	DET	  vs.  ARI	37	55	46.4	6.887670143089		
48	Tre Mason	STL	  at  GB	36	57	47.6	7.6576758876307		
49	Darren McFadden	DAL	  vs.  NE	43	53	48.6	4.2237424163886		
50	Antonio Andrews	TEN	  vs.  BUF	41	89	59.75	18.349046296743		
51	Andre Williams	NYG	  vs.  SF	43	57	50.4	4.8826222462935		
52	Thomas Rawls	SEA	  at  CIN	45	64	53.75	7.0843136576524		
53	Charles Sims	TB	  vs.  JAC	49	57	51.8	3.1874754901018		
54	Anthony Dixon	BUF	  at  TEN	47	97	78.25	18.912628056407		
55	Alfred Blue	HOU	  vs.  IND	47	61	55	4.6043457732885		
56	Roy Helu	OAK	  vs.  DEN	48	70	57.25	8.5841423566947		
57	Reggie Bush	SF	  at  NYG	49	69	55.6	7.3918874450305		
58	Chris Thompson	WAS	  at  ATL	49	100	70.25	19.175179269045		
59	James Starks	GB	  vs.  STL	49	69	58.8	7.0823724838503		
60	Theo Riddick	DET	  vs.  ARI	50	69	59	6.745368781616		
61	Christine Michael	DAL	  vs.  NE	51	75	65.2	9.1301697684107		
62	DeAngelo Williams	PIT	  at  SD	51	74	59.2	8.4474848327771		
63	Josh Robinson	IND	  at  HOU	53	67	60.4	5.4626001134991		
64	Khiry Robinson	NO	  at  PHI	54	72	61	6.0663003552412		
65	Knile Davis	KC	  vs.  CHI	55	107	74	19.723082923316		
66	Jerick McKinnon	MIN	  	55	66	61.25	3.9607448794387		
67	Denard Robinson	JAC	  at  TB	56	72	62.25	6.4177488264967		
68	Fred Jackson	SEA	  at  CIN	56	68	63.8	4.6647615158762		
69	Dexter McCluster	TEN	  vs.  BUF	58	77	66	8.0415587212099		
70	Damien Williams	MIA	  	59	71	67	4.8989794855664		
71	Terrance West	TEN	  vs.  BUF	60	90	69.25	12.193748398257		
72	Lorenzo Taliaferro	BAL	  vs.  CLE	60	70	64.4	3.9293765408777		
73	Bilal Powell	NYJ	  	61	70	65	3.2403703492039		
74	Cameron Artis-Payne	CAR	  	62	83	70	8.4557672626439		
75	Benny Cunningham	STL	  at  GB	62	81	72.5	7.8262379212493		
76	Marcel Reece	OAK	  vs.  DEN	63	95	76.333333333333	13.597385369581		
77	Jacquizz Rodgers	CHI	  at  KC	63	88	76.333333333333	10.274023338282		
78	Javorius Allen	BAL	  vs.  CLE	64	83	75	6.9641941385921		
79	Chris Polk	HOU	  vs.  IND	65	80	72.8	5.3814496188295		
80	Robert Turbin	CLE	  at  BAL	65	65	65	0		
81	Brandon Bolden	NE	  at  DAL	66	76	71	5		
82	Mike Tolbert	CAR	  	67	92	81.5	9.394147114028		
83	James White	NE	  at  DAL	68	93	82.25	9.679230341303		
