
FantasyPros.com 	 
Week 5 - TE Rankings 	 
Expert Consensus Rankings (ECR) 	 

 Rank 	 Player Name 	Team 	 Matchup 	Best Rank 	 Worst Rank 	 Avg Rank 	 Std Dev 	
1	Rob Gronkowski	NE	  at  DAL	1	1	1	0		
2	Greg Olsen	CAR	  	2	4	2.6	0.8		
3	Jimmy Graham	SEA	  at  CIN	2	5	3	1.0954451150103		
4	Travis Kelce	KC	  vs.  CHI	3	4	3.8	0.4		
5	Martellus Bennett	CHI	  at  KC	5	6	5.6	0.48989794855664		
6	Tyler Eifert	CIN	  vs.  SEA	3	8	6	1.7888543819998		
7	Jason Witten	DAL	  vs.  NE	6	10	7.8	1.3266499161422		
8	Delanie Walker	TEN	  vs.  BUF	8	12	9.6	1.6248076809272		
9	Zach Ertz	PHI	  vs.  NO	6	22	12.2	5.7061370470748		
10	Antonio Gates	SD	  vs.  PIT	5	20	12.6	5.8855755878249		
11	Jordan Reed	WAS	  at  ATL	9	26	13.6	6.3749509802037		
12	Jordan Cameron	MIA	  	10	17	13.4	2.576819745345		
13	Charles Clay	BUF	  at  TEN	9	24	14.8	5.0358713248057		
14	Heath Miller	PIT	  at  SD	10	20	14.6	3.9799497484265		
15	Julius Thomas	JAC	  at  TB	11	21	15.8	4.0693979898752		
16	Eric Ebron	DET	  vs.  ARI	11	19	15.8	2.7856776554368		
17	Kyle Rudolph	MIN	  	9	23	18	5.5856960175076		
18	Coby Fleener	IND	  at  HOU	14	27	19	5.1768716422179		
19	Ladarius Green	SD	  vs.  PIT	13	25	20	4.5607017003966		
20	Owen Daniels	DEN	  at  OAK	15	22	18.6	2.6532998322843		
21	Gary Barnidge	CLE	  at  BAL	10	42	24.666666666667	13.199326582149		
22	Richard Rodgers	GB	  vs.  STL	12	27	22	5.7619441163552		
23	Dwayne Allen	IND	  at  HOU	16	24	19.4	2.8705400188815		
24	Larry Donnell	NYG	  vs.  SF	16	24	19.6	2.9393876913398		
25	Austin Seferian-Jenkins	TB	  vs.  JAC	12	28	22.4	5.4626001134991		
26	Crockett Gillmore	BAL	  vs.  CLE	17	28	23.75	4.1457809879443		
27	Josh Hill	NO	  at  PHI	19	28	25.5	3.7749172176354		
28	Jared Cook	STL	  at  GB	21	31	26.4	3.7735924528226		
29	Vernon Davis	SF	  at  NYG	21	30	25.4	3.6110940170536		
30	Mychal Rivera	OAK	  vs.  DEN	25	34	30.25	3.3447720400649		
31	Maxx Williams	BAL	  vs.  CLE	26	31	29.25	1.9202864369672		
32	Benjamin Watson	NO	  at  PHI	27	39	32.25	4.4370598373247		
33	Scott Chandler	NE	  at  DAL	27	32	29.333333333333	2.0548046676563		
34	Jake Stoneburner	MIA	  	29	35	32	3		
35	Virgil Green	DEN	  at  OAK	29	34	32	2.1213203435596		
36	Jacob Tamme	ATL	  vs.  WAS	31	35	32.666666666667	1.6996731711976		
37	Garrett Graham	HOU	  vs.  IND	32	32	32	0		
38	Darren Fells	ARI	  at  DET	33	38	35.5	2.5		
39	Jermaine Gresham	ARI	  at  DET	33	33	33	0		
40	Brent Celek	PHI	  vs.  NO	35	37	36	1		
41	Brandon Myers	TB	  vs.  JAC	36	40	38	2		
42	Gavin Escobar	DAL	  vs.  NE	36	36	36	0		
43	Levine Toilolo	ATL	  vs.  WAS	41	41	41	0		
44	Jeff Cumberland	NYJ	  	43	43	43	0		
45	Marcedes Lewis	JAC	  at  TB	44	44	44	0		
46	Dion Sims	MIA	  	45	45	45	0		
47	Troy Niklas	ARI	  at  DET	46	46	46	0		
48	Rob Housler	CLE	  at  BAL	47	47	47	0		
49	MyCole Pruitt	MIN	  	48	48	48	0		
50	Luke Willson	SEA	  at  CIN	49	49	49	0		
