
FantasyPros.com 	 
Week 5 - WR Rankings 	 
Expert Consensus Rankings (ECR) 	 

 Rank 	 Player Name 	Team 	 Matchup 	Best Rank 	 Worst Rank 	 Avg Rank 	 Std Dev 	
1	Julio Jones	ATL	  vs.  WAS	1	2	1.4	0.48989794855664		
2	Antonio Brown	PIT	  at  SD	1	6	3.4	1.7435595774163		
3	A.J. Green	CIN	  vs.  SEA	2	5	3.4	1.0198039027186		
4	Odell Beckham Jr.	NYG	  vs.  SF	2	5	3.4	1.0198039027186		
5	Demaryius Thomas	DEN	  at  OAK	3	11	6.2	2.9257477676656		
6	Randall Cobb	GB	  vs.  STL	5	7	6.2	0.74833147735479		
7	DeAndre Hopkins	HOU	  vs.  IND	5	11	8	2		
8	Calvin Johnson	DET	  vs.  ARI	6	14	9.2	2.7856776554368		
9	Emmanuel Sanders	DEN	  at  OAK	7	17	10	3.633180424917		
10	Julian Edelman	NE	  at  DAL	1	14	10.2	4.6647615158762		
11	Keenan Allen	SD	  vs.  PIT	6	16	12.2	3.5440090293339		
12	Amari Cooper	OAK	  vs.  DEN	10	18	12.8	2.7856776554368		
13	Jordan Matthews	PHI	  vs.  NO	9	24	13.6	5.388877434123		
14	Mike Evans	TB	  vs.  JAC	8	18	13.8	3.7094473981983		
15	T.Y. Hilton	IND	  at  HOU	14	18	16	1.4142135623731		
16	Larry Fitzgerald	ARI	  at  DET	9	25	16.4	5.2		
17	Brandon Marshall	NYJ	  	13	20	16.8	2.7856776554368		
18	Jarvis Landry	MIA	  	13	23	19	3.633180424917		
19	Allen Robinson	JAC	  at  TB	17	24	21	2.4494897427832		
20	Alshon Jeffery	CHI	  at  KC	9	45	21.6	12.322337440599		
21	Jeremy Maclin	KC	  vs.  CHI	19	26	21.6	2.6532998322843		
22	Brandin Cooks	NO	  at  PHI	10	32	23.4	7.964923100696		
23	Vincent Jackson	TB	  vs.  JAC	21	28	24.2	2.5612496949731		
24	Eric Decker	NYJ	  	19	29	25.8	3.6551333764994		
25	Pierre Garcon	WAS	  at  ATL	22	39	27.8	5.844655678481		
26	James Jones	GB	  vs.  STL	15	50	28.2	11.651609330904		
27	Golden Tate	DET	  vs.  ARI	21	58	29.8	14.16192077368		
28	Sammy Watkins	BUF	  at  TEN	28	33	29.8	1.9390719429665		
29	Steve Smith	BAL	  vs.  CLE	22	40	30.2	7.3864741250478		
30	Kendall Wright	TEN	  vs.  BUF	25	38	31.6	4.2237424163886		
31	Mike Wallace	MIN	  	27	38	32.2	4.4452221541786		
32	Davante Adams	GB	  vs.  STL	20	44	34.8	8.7954533709184		
33	Donte Moncrief	IND	  at  HOU	20	70	37	17.251086922278		
34	John Brown	ARI	  at  DET	31	42	35.2	4.7916594202844		
35	Martavis Bryant	PIT	  at  SD	35	41	37	2.2803508501983		
36	DeSean Jackson	WAS	  at  ATL	32	59	38.8	10.146920715173		
37	Terrance Williams	DAL	  vs.  NE	34	47	39.8	4.5782092569038		
38	Allen Hurns	JAC	  at  TB	28	58	41.2	9.7857038581801		
39	Torrey Smith	SF	  at  NYG	39	51	42	4.6475800154489		
40	Dez Bryant	DAL	  vs.  NE	23	59	42.6	12.877888025604		
41	Michael Crabtree	OAK	  vs.  DEN	30	53	43.4	9.0022219479415		
42	Anquan Boldin	SF	  at  NYG	33	53	43.4	7.863841300535		
43	Eddie Royal	CHI	  at  KC	40	49	43.4	3.1368774282716		
44	Nelson Agholor	PHI	  vs.  NO	30	54	44.6	8.4758480401668		
45	Percy Harvin	BUF	  at  TEN	33	56	45.4	9.4783964888582		
46	Rishard Matthews	MIA	  	30	87	51.4	19.784842683226		
47	Steve Johnson	SD	  vs.  PIT	39	56	46.6	5.4626001134991		
48	Marvin Jones	CIN	  vs.  SEA	34	56	46.8	8.2316462509027		
49	Andre Johnson	IND	  at  HOU	14	60	44.25	17.809758560969		
50	Roddy White	ATL	  vs.  WAS	36	67	49.6	10.248902380255		
51	Ted Ginn	CAR	  	31	51	45.5	8.3815273071201		
52	Charles Johnson	MIN	  	34	69	50.2	11.160645142643		
53	Leonard Hankerson	ATL	  vs.  WAS	35	74	52.2	13.044539087296		
54	Rueben Randle	NYG	  vs.  SF	42	61	51	6.572670690062		
55	Marques Colston	NO	  at  PHI	43	55	48.75	4.264680527308		
56	Michael Floyd	ARI	  at  DET	45	72	56	8.8769364084689		
57	Travis Benjamin	CLE	  at  BAL	33	68	55.75	13.608361400257		
58	Markus Wheaton	PIT	  at  SD	46	62	54.75	7.3271754448764		
59	Willie Snead	NO	  at  PHI	41	92	63.333333333333	21.296843793284		
60	Victor Cruz	NYG	  vs.  SF	47	63	55.75	5.9739015726743		
61	Brian Quick	STL	  at  GB	49	85	62.25	13.808964479641		
62	Dorial Green-Beckham	TEN	  vs.  BUF	44	65	59.6	7.9145435749638		
63	Jamison Crowder	WAS	  at  ATL	47	124	78.333333333333	33.028607129107		
64	Doug Baldwin	SEA	  at  CIN	48	68	61	7.0427267446636		
65	Devin Funchess	CAR	  	48	69	61.25	7.9490565477923		
66	Kamar Aiken	BAL	  vs.  CLE	50	90	71.4	15.717506163511		
67	Devante Parker	MIA	  	51	68	61.6	6.280127387243		
68	Cecil Shorts	HOU	  vs.  IND	53	82	70.25	11.431863365174		
69	Jermaine Kearse	SEA	  at  CIN	55	79	68	9.8994949366117		
70	Ty Montgomery	GB	  vs.  STL	57	88	75.6	10.518555033844		
71	Breshad Perriman	BAL	  vs.  CLE	57	83	70.5	9.205976319761		
72	Danny Amendola	NE	  at  DAL	57	77	64.4	6.711184694225		
73	Kenny Stills	MIA	  	58	75	66.2	6.0464865831324		
74	Brandon Coleman	NO	  at  PHI	59	72	63.25	5.165994579943		
75	Tavon Austin	STL	  at  GB	60	87	78.5	10.920164833921		
76	Marquess Wilson	CHI	  at  KC	60	79	73.2	6.7941151005852		
77	Stefon Diggs	MIN	  	61	76	68.5	7.5		
78	Devin Smith	NYJ	  	63	121	89.333333333333	23.976840677806		
79	Brandon LaFell	NE	  at  DAL	63	90	74.5	10.5		
80	Kenny Britt	STL	  at  GB	65	80	70	6.1237243569579		
81	Dwayne Bowe	CLE	  at  BAL	66	115	86.75	20.302401335803		
82	Aaron Dobson	NE	  at  DAL	66	81	76	7.0710678118655		
83	Cole Beasley	DAL	  vs.  NE	66	79	72.2	4.7074409183759		
84	Harry Douglas	TEN	  vs.  BUF	67	89	78	11		
85	Malcom Floyd	SD	  vs.  PIT	67	83	74.25	5.804093383122		
86	Cody Latimer	DEN	  at  OAK	69	85	77	6.0415229867973		
87	Brenton Bersin	CAR	  	70	82	76	6		
88	Kevin White	CHI	  at  KC	71	108	89	13.095800853709		
89	Phillip Dorsett	IND	  at  HOU	71	87	75.75	6.533567172686		
90	Tyler Lockett	SEA	  at  CIN	73	86	77.5	5.1234753829798		
91	Jerricho Cotchery	CAR	  	75	114	91.5	14.465476141489		
92	Philly Brown	CAR	  	76	94	83.25	7.6607767230223		
93	Andre Caldwell	DEN	  at  OAK	77	96	86.5	9.5		
94	Brian Hartline	CLE	  at  BAL	78	97	86.5	7.8262379212493		
95	Marlon Brown	BAL	  vs.  CLE	78	95	86.5	8.5		
96	Stedman Bailey	STL	  at  GB	80	85	83	2.1602468994693		
97	Jeff Janis	GB	  vs.  STL	81	111	91.75	11.861176164276		
98	Jordan Norwood	DEN	  at  OAK	82	90	86	4		
99	Marqise Lee	JAC	  at  TB	83	86	85	1.4142135623731		
100	Reggie Wayne	FA		84	92	88	4		
101	Andrew Hawkins	CLE	  at  BAL	85	99	90.666666666667	6.0184900284226		
102	Jaelen Strong	HOU	  vs.  IND	89	94	92	2.1602468994693		
103	Greg Jennings	MIA	  	89	91	90	0.81649658092773		
104	Cordarrelle Patterson	MIN	  	91	91	91	0		
105	Justin Hunter	TEN	  vs.  BUF	93	93	93	0		
106	Nate Washington	HOU	  vs.  IND	95	95	95	0		
107	Mohamed Sanu	CIN	  vs.  SEA	96	96	96	0		
108	Albert Wilson	KC	  vs.  CHI	98	98	98	0		
109	Robert Woods	BUF	  at  TEN	100	100	100	0		
110	Jarius Wright	MIN	  	101	101	101	0		
111	Riley Cooper	PHI	  vs.  NO	102	102	102	0		
112	Josh Huff	PHI	  vs.  NO	103	103	103	0		
113	Taylor Gabriel	CLE	  at  BAL	104	104	104	0		
114	Seth Roberts	OAK	  vs.  DEN	105	105	105	0		
115	Darrius Heyward-Bey	PIT	  at  SD	106	106	106	0		
116	Chris Givens	BAL	  vs.  CLE	107	107	107	0		
117	Chris Matthews	SEA	  at  CIN	109	109	109	0		
118	Louis Murphy	TB	  vs.  JAC	110	110	110	0		
119	Chris Conley	KC	  vs.  CHI	112	112	112	0		
120	Ryan Grant	WAS	  at  ATL	113	113	113	0		
121	Jaron Brown	ARI	  at  DET	116	116	116	0		
122	Andre Roberts	WAS	  at  ATL	117	117	117	0		
123	Rod Streater	OAK	  vs.  DEN	118	118	118	0		
124	Sammie Coates	PIT	  at  SD	119	119	119	0		
125	Miles Austin	PHI	  vs.  NO	120	120	120	0		
126	Ricardo Lockette	SEA	  at  CIN	122	122	122	0		
127	Jeremy Kerley	NYJ	  	123	123	123	0		
128	Devin Hester	ATL	  vs.  WAS	125	125	125	0		
129	Justin Hardy	ATL	  vs.  WAS	126	126	126	0		
130	Jason Avant	KC	  vs.  CHI	127	127	127	0		
131	Quinton Patton	SF	  at  NYG	128	128	128	0		
132	Lance Moore	DET	  vs.  ARI	129	129	129	0		
133	Devin Street	DAL	  vs.  NE	130	130	130	0		
134	De'Anthony Thomas	KC	  vs.  CHI	131	131	131	0		
135	Brandon Tate	CIN	  vs.  SEA	132	132	132	0		
136	Kevin Norwood	CAR	  	133	133	133	0		
137	Corey Fuller	DET	  vs.  ARI	134	134	134	0		
138	Andre Holmes	OAK	  vs.  DEN	135	135	135	0		
139	Dontrelle Inman	SD	  vs.  PIT	136	136	136	0		
140	Brice Butler	DAL	  vs.  NE	137	137	137	0		
141	Dwayne Harris	NYG	  vs.  SF	138	138	138	0		
142	Bruce Ellington	SF	  at  NYG	139	139	139	0		
143	Chris Owusu	NYJ	  	140	140	140	0		
