
FantasyPros.com 	 
Week 5 - QB Rankings 	 
Expert Consensus Rankings (ECR) 	 

 Rank 	 Player Name 	Team 	 Matchup 	Best Rank 	 Worst Rank 	 Avg Rank 	 Std Dev 	
1	Aaron Rodgers	GB	  vs.  STL	1	2	1.1666666666667	0.37267799624996		
2	Tom Brady	NE	  at  DAL	2	6	2.6666666666667	1.4907119849999		
3	Matt Ryan	IND	  at  HOU	1	6	3.5	1.5		
4	Andrew Luck	ATL	  vs.  WAS	3	5	3.8333333333333	0.68718427093628		
5	Russell Wilson	SEA	  at  CIN	4	8	5.6666666666667	1.3743685418726		
6	Peyton Manning	DEN	  at  OAK	5	9	7.6666666666667	1.2472191289246		
7	Carson Palmer	ARI	  at  DET	3	15	8	3.9157800414902		
8	Drew Brees	NO	  at  PHI	3	14	9.5	3.8622100754188		
9	Cam Newton	CAR	  	5	16	9.5	3.8622100754188		
10	Eli Manning	NYG	  vs.  SF	9	12	10.333333333333	1.2472191289246		
11	Andy Dalton	CIN	  vs.  SEA	6	19	11	3.9581140290126		
12	Philip Rivers	SD	  vs.  PIT	7	16	11.333333333333	3.1972210155418		
13	Ryan Tannehill	MIA	  	10	20	14.333333333333	3.4960294939005		
14	Matthew Stafford	DET	  vs.  ARI	14	17	15	1.1547005383793		
15	Ben Roethlisberger	PIT	  at  SD	7	26	16.5	6.7019897542944		
16	Tyrod Taylor	BUF	  at  TEN	10	27	17.333333333333	5.3124591501697		
17	Sam Bradford	PHI	  vs.  NO	12	21	16.333333333333	3.1446603773522		
18	Derek Carr	OAK	  vs.  DEN	14	21	16.666666666667	2.2852182001337		
19	Teddy Bridgewater	MIN	  	13	29	21.666666666667	5.8783973628495		
20	Joe Flacco	BAL	  vs.  CLE	15	24	19.666666666667	2.9249881291307		
21	Tony Romo	DAL	  vs.  NE	11	32	26	7.371114795832		
22	Marcus Mariota	TEN	  vs.  BUF	14	23	20	2.8867513459481		
23	Jay Cutler	CHI	  at  KC	18	26	21.166666666667	2.7938424357067		
24	Colin Kaepernick	SF	  at  NYG	17	31	24.166666666667	4.7404875511093		
25	Nick Foles	STL	  at  GB	18	32	26.5	4.2328083664001		
26	Ryan Fitzpatrick	NYJ	  	19	32	26.833333333333	4.9469406932186		
27	Alex Smith	KC	  vs.  CHI	20	29	23.666666666667	2.7487370837451		
28	Michael Vick	PIT	  at  SD	22	34	27.8	4.9558046773455		
29	Blake Bortles	JAC	  at  TB	23	29	26	2		
30	Jameis Winston	TB	  vs.  JAC	24	30	26.5	2.5		
31	Kirk Cousins	WAS	  at  ATL	25	31	28.333333333333	1.7950549357115		
32	Josh McCown	CLE	  at  BAL	27	35	30	2.9664793948383		
33	Johnny Manziel	CLE	  at  BAL	30	35	32.5	2.5		
34	Ryan Mallett	HOU	  vs.  IND	31	34	33	1.2247448713916		
35	Brian Hoyer	HOU	  vs.  IND	32	42	35.6	3.4985711369072		
36	Brandon Weeden	DAL	  vs.  NE	33	34	33.5	0.5		
37	Jimmy Clausen	CHI	  at  KC	36	37	36.5	0.5		
38	Mark Sanchez	PHI	  vs.  NO	37	38	37.5	0.5		
39	Jimmy Garoppolo	NE	  at  DAL	38	38	38	0		
40	Geno Smith	NYJ	  	39	39	39	0		
41	Robert Griffin III	WAS	  at  ATL	40	40	40	0		
42	Zach Mettenberger	TEN	  vs.  BUF	41	41	41	0		
43	Colt McCoy	WAS	  at  ATL	43	43	43	0		
44	Derek Anderson	CAR	  	44	44	44	0		
45	Matt Cassel	DAL	  vs.  NE	45	45	45	0		
46	Brock Osweiler	DEN	  at  OAK	46	46	46	0		
47	Mike Glennon	TB	  vs.  JAC	47	47	47	0		
48	Matt McGloin	OAK	  vs.  DEN	48	48	48	0		
49	Drew Stanton	ARI	  at  DET	49	49	49	0		
50	E.J. Manuel	BUF	  at  TEN	50	50	50	0		
