
FantasyPros.com 	 
Week 5 - RB Rankings 	 
Expert Consensus Rankings (ECR) 	 

 Rank 	 Player Name 	Team 	 Matchup 	Best Rank 	 Worst Rank 	 Avg Rank 	 Std Dev 	
1	Le'Veon Bell	PIT	  at  SD	1	1	1	0		
2	Jamaal Charles	KC	  vs.  CHI	2	3	2.2	0.4		
3	Adrian Peterson	MIN	  	3	4	3.4	0.48989794855664		
4	Eddie Lacy	GB	  vs.  STL	2	5	4	1.0954451150103		
5	Matt Forte	CHI	  at  KC	3	5	4.4	0.8		
6	Marshawn Lynch	SEA	  at  CIN	6	9	6.8	1.1661903789691		
7	Latavius Murray	OAK	  vs.  DEN	9	14	10.8	1.7204650534085		
8	Jeremy Hill	CIN	  vs.  SEA	6	18	11.6	4.3174066289846		
9	Arian Foster	HOU	  vs.  IND	6	18	11.8	3.9191835884531		
10	Frank Gore	IND	  at  HOU	8	14	12	2.0976176963403		
11	Mark Ingram	NO	  at  PHI	8	17	12.8	3.3105890714494		
12	Justin Forsett	BAL	  vs.  CLE	10	16	13.4	2.4979991993594		
13	Carlos Hyde	SF	  at  NYG	7	28	14	7.5630681604756		
14	Devonta Freeman	ATL	  vs.  WAS	7	38	14.8	11.805083650699		
15	Todd Gurley	STL	  at  GB	9	34	17.4	8.5930204235763		
16	LeSean McCoy	BUF	  at  TEN	11	24	17.4	4.5431266766402		
17	Christopher Ivory	NYJ	  	17	23	18.8	2.4		
18	DeMarco Murray	PHI	  vs.  NO	7	31	20.8	7.7562877718661		
19	Melvin Gordon	SD	  vs.  PIT	16	30	22	4.6904157598234		
20	Dion Lewis	NE	  at  DAL	8	47	22.6	14.347125147569		
21	Danny Woodhead	SD	  vs.  PIT	13	33	22.6	6.4062469512188		
22	Joseph Randle	DAL	  vs.  NE	19	26	22.8	2.7856776554368		
23	Ameer Abdullah	DET	  vs.  ARI	20	26	23	2.5298221281347		
24	Giovani Bernard	CIN	  vs.  SEA	19	28	23.8	3.6551333764994		
25	Jonathan Stewart	CAR	  	16	35	25.2	7.4672618810378		
26	T.J. Yeldon	JAC	  at  TB	18	31	25.2	4.2142615011411		
27	Lamar Miller	MIA	  	12	34	25.4	9.7897906004163		
28	LeGarrette Blount	NE	  at  DAL	19	31	25.8	4.3081318457076		
29	C.J. Anderson	DEN	  at  OAK	8	35	26.6	9.64572444143		
30	C.J. Spiller	NO	  at  PHI	21	31	26.6	3.7202150475477		
31	Doug Martin	TB	  vs.  JAC	20	39	29	6.4187226143525		
32	Alfred Morris	WAS	  at  ATL	24	37	30	5.4037024344425		
33	Darren Sproles	PHI	  vs.  NO	23	38	32.4	5.8855755878249		
34	Karlos Williams	BUF	  at  TEN	19	33	29	5.8309518948453		
35	Ronnie Hillman	DEN	  at  OAK	27	51	35.2	8.4947042326381		
36	Andre Ellington	ARI	  at  DET	29	44	36	5.2535702146255		
37	Shane Vereen	NYG	  vs.  SF	28	52	38	7.8740078740118		
38	Chris Johnson	ARI	  at  DET	26	45	39.8	6.9971422738144		
39	Matt Jones	WAS	  at  ATL	36	43	39.8	2.4819347291982		
40	Isaiah Crowell	CLE	  at  BAL	34	45	40	4.1472882706655		
41	Tevin Coleman	ATL	  vs.  WAS	30	48	40.4	6.3749509802037		
42	Rashad Jennings	NYG	  vs.  SF	32	51	41.2	6.0464865831324		
43	Ryan Mathews	PHI	  vs.  NO	34	49	42.6	5.499090833947		
44	Duke Johnson	CLE	  at  BAL	38	53	43.8	5.0358713248057		
45	David Johnson	ARI	  at  DET	35	49	44	5.0990195135928		
46	Bishop Sankey	TEN	  vs.  BUF	37	54	45	5.9665735560705		
47	Joique Bell	DET	  vs.  ARI	39	55	47	6.7230945255886		
48	Tre Mason	STL	  at  GB	37	57	48.8	7.5471849056453		
49	Charles Sims	TB	  vs.  JAC	43	58	49.2	5.7061370470748		
50	Antonio Andrews	TEN	  vs.  BUF	41	87	58.25	18.046814123274		
51	Darren McFadden	DAL	  vs.  NE	45	53	49.8	3.5440090293339		
52	Andre Williams	NYG	  vs.  SF	43	57	52.2	5.2687759489278		
53	Roy Helu	OAK	  vs.  DEN	44	68	54.25	8.8423695919137		
54	Thomas Rawls	SEA	  at  CIN	45	66	55	8.3964278118733		
55	Reggie Bush	SF	  at  NYG	48	67	54.6	7.3918874450305		
56	Theo Riddick	DET	  vs.  ARI	46	65	56.25	6.7961386095341		
57	Anthony Dixon	BUF	  at  TEN	47	97	78.25	18.912628056407		
58	Chris Thompson	WAS	  at  ATL	49	99	69	19.442222095224		
59	James Starks	GB	  vs.  STL	49	70	59.2	7.3593477971896		
60	Alfred Blue	HOU	  vs.  IND	50	64	56.4	4.6303347611161		
61	DeAngelo Williams	PIT	  at  SD	51	76	59.2	9.3893556754444		
62	Christine Michael	DAL	  vs.  NE	51	75	65.8	9.1082380293886		
63	Jerick McKinnon	MIN	  	52	64	60.5	4.9244289008981		
64	Dexter McCluster	TEN	  vs.  BUF	54	77	64.333333333333	9.5335664307167		
65	Knile Davis	KC	  vs.  CHI	55	107	75.75	19.149086140075		
66	Denard Robinson	JAC	  at  TB	55	72	61.75	6.869315832017		
67	Khiry Robinson	NO	  at  PHI	56	71	61.6	5.1613951602256		
68	Josh Robinson	IND	  at  HOU	56	66	61.2	4.0693979898752		
69	Fred Jackson	SEA	  at  CIN	57	70	64.8	4.9959983987187		
70	Damien Williams	MIA	  	58	71	66.5	5.3150729063673		
71	Marcel Reece	OAK	  vs.  DEN	59	93	73.333333333333	14.383632673594		
72	Jacquizz Rodgers	CHI	  at  KC	60	88	75.333333333333	11.585431464655		
73	Lorenzo Taliaferro	BAL	  vs.  CLE	60	70	64.4	3.6110940170536		
74	Benny Cunningham	STL	  at  GB	61	80	71.25	8.377798040058		
75	Bilal Powell	NYJ	  	61	70	65.25	3.832427429189		
76	Terrance West	TEN	  vs.  BUF	62	90	70.25	11.583932838203		
77	James White	NE	  at  DAL	63	93	80.75	11.627015954233		
78	Cameron Artis-Payne	CAR	  	63	83	71	7.4833147735479		
79	Charcandrick West	KC	  vs.  CHI	64	84	72.666666666667	8.3798700599844		
