
FantasyPros.com 	 
Week 5 - TE Rankings 	 
Expert Consensus Rankings (ECR) 	 

 Rank 	 Player Name 	Team 	 Matchup 	Best Rank 	 Worst Rank 	 Avg Rank 	 Std Dev 	
1	Rob Gronkowski	NE	  at  DAL	1	1	1	0		
2	Greg Olsen	CAR	  	2	4	2.6	0.8		
3	Travis Kelce	KC	  vs.  CHI	3	4	3.2	0.4		
4	Jimmy Graham	SEA	  at  CIN	2	5	3.4	1.2		
5	Martellus Bennett	CHI	  at  KC	5	6	5.6	0.48989794855664		
6	Tyler Eifert	CIN	  vs.  SEA	4	8	6.2	1.4696938456699		
7	Jason Witten	DAL	  vs.  NE	7	11	8	1.549193338483		
8	Delanie Walker	TEN	  vs.  BUF	8	12	9.6	1.6248076809272		
9	Zach Ertz	PHI	  vs.  NO	6	22	12.2	5.9464274989274		
10	Jordan Reed	WAS	  at  ATL	9	26	13	6.5421708935184		
11	Antonio Gates	SD	  vs.  PIT	5	22	13	6.0991802727908		
12	Jordan Cameron	MIA	  	11	19	13.8	2.7856776554368		
13	Charles Clay	BUF	  at  TEN	9	24	14.8	5.1146847410178		
14	Heath Miller	PIT	  at  SD	9	20	14.2	4.1665333311999		
15	Eric Ebron	DET	  vs.  ARI	10	18	14.6	2.6532998322843		
16	Julius Thomas	JAC	  at  TB	10	21	16.4	4.5869379764719		
17	Kyle Rudolph	MIN	  	11	23	18.6	5.0833060108555		
18	Larry Donnell	NYG	  vs.  SF	15	24	18.4	3.26190128606		
19	Coby Fleener	IND	  at  HOU	15	27	19.6	4.7159304490206		
20	Ladarius Green	SD	  vs.  PIT	14	25	20	4.3358966777358		
21	Gary Barnidge	CLE	  at  BAL	10	42	24	13.366625103842		
22	Owen Daniels	DEN	  at  OAK	16	22	19	2.5298221281347		
23	Richard Rodgers	GB	  vs.  STL	13	28	22.6	5.74804314528		
24	Austin Seferian-Jenkins	TB	  vs.  JAC	12	28	22.2	5.4184868736576		
25	Josh Hill	NO	  at  PHI	17	28	25	4.6368092477479		
26	Crockett Gillmore	BAL	  vs.  CLE	17	27	23.25	3.7666297933298		
27	Dwayne Allen	IND	  at  HOU	19	26	21.8	2.7856776554368		
28	Jared Cook	STL	  at  GB	19	31	25.4	4.9234134500365		
29	Vernon Davis	SF	  at  NYG	21	30	25.2	3.6551333764994		
30	Mychal Rivera	OAK	  vs.  DEN	25	34	30.25	3.3447720400649		
31	Benjamin Watson	NO	  at  PHI	26	39	32	4.7434164902526		
32	Maxx Williams	BAL	  vs.  CLE	26	31	29.25	1.9202864369672		
33	Scott Chandler	NE	  at  DAL	27	32	29.333333333333	2.0548046676563		
34	Jake Stoneburner	MIA	  	29	35	32	3		
35	Virgil Green	DEN	  at  OAK	29	34	32	2.1213203435596		
36	Jacob Tamme	ATL	  vs.  WAS	31	35	32.666666666667	1.6996731711976		
37	Garrett Graham	HOU	  vs.  IND	32	32	32	0		
38	Darren Fells	ARI	  at  DET	33	38	35.5	2.5		
39	Jermaine Gresham	ARI	  at  DET	33	33	33	0		
40	Brent Celek	PHI	  vs.  NO	35	37	36	1		
41	Brandon Myers	TB	  vs.  JAC	36	40	38	2		
42	Gavin Escobar	DAL	  vs.  NE	36	36	36	0		
43	Levine Toilolo	ATL	  vs.  WAS	41	41	41	0		
44	Jeff Cumberland	NYJ	  	43	43	43	0		
45	Dion Sims	MIA	  	44	44	44	0		
46	Marcedes Lewis	JAC	  at  TB	45	45	45	0		
47	Troy Niklas	ARI	  at  DET	46	46	46	0		
48	MyCole Pruitt	MIN	  	47	47	47	0		
49	Luke Willson	SEA	  at  CIN	48	48	48	0		
50	Rob Housler	CLE	  at  BAL	49	49	49	0		
