
FantasyPros.com 	 
Week 5 - WR Rankings 	 
Expert Consensus Rankings (ECR) 	 

 Rank 	 Player Name 	Team 	 Matchup 	Best Rank 	 Worst Rank 	 Avg Rank 	 Std Dev 	
1	Julio Jones	ATL	  vs.  WAS	1	2	1.6	0.48989794855664		
2	A.J. Green	CIN	  vs.  SEA	1	3	2.6	0.8		
3	Antonio Brown	PIT	  at  SD	1	6	3.4	1.7435595774163		
4	Odell Beckham Jr.	NYG	  vs.  SF	2	5	3.8	1.1661903789691		
5	Randall Cobb	GB	  vs.  STL	5	7	6	0.63245553203368		
6	Demaryius Thomas	DEN	  at  OAK	4	10	6.2	2.4		
7	DeAndre Hopkins	HOU	  vs.  IND	5	11	7.8	1.9390719429665		
8	Julian Edelman	NE	  at  DAL	1	14	9.4	4.8414873747641		
9	Calvin Johnson	DET	  vs.  ARI	8	13	10	1.7888543819998		
10	Emmanuel Sanders	DEN	  at  OAK	7	18	10.4	3.9293765408777		
11	Keenan Allen	SD	  vs.  PIT	6	16	12.2	3.4871191548325		
12	Amari Cooper	OAK	  vs.  DEN	10	17	12.8	2.4		
13	Jordan Matthews	PHI	  vs.  NO	9	24	14	5.2535702146255		
14	Mike Evans	TB	  vs.  JAC	7	19	14.4	4.6303347611161		
15	Larry Fitzgerald	ARI	  at  DET	10	24	15.6	4.6303347611161		
16	T.Y. Hilton	IND	  at  HOU	15	18	16.2	1.1661903789691		
17	Brandon Marshall	NYJ	  	14	20	17.6	2.576819745345		
18	Jarvis Landry	MIA	  	12	24	18.2	4.0199502484484		
19	Allen Robinson	JAC	  at  TB	16	23	20	2.6076809620811		
20	Jeremy Maclin	KC	  vs.  CHI	17	27	20.6	3.3823069050576		
21	Alshon Jeffery	CHI	  at  KC	10	45	23.6	12.142487389328		
22	Brandin Cooks	NO	  at  PHI	9	32	24.4	8.6162636914152		
23	Eric Decker	NYJ	  	21	29	25.8	2.9257477676656		
24	Vincent Jackson	TB	  vs.  JAC	21	31	26.2	3.5440090293339		
25	Pierre Garcon	WAS	  at  ATL	23	38	26.6	5.8172158288996		
26	James Jones	GB	  vs.  STL	15	49	28.4	11.2		
27	Kendall Wright	TEN	  vs.  BUF	25	37	28.6	4.4090815370097		
28	Steve Smith	BAL	  vs.  CLE	22	42	29.4	7.5789181285986		
29	Golden Tate	DET	  vs.  ARI	22	57	29.6	13.749181793838		
30	Sammy Watkins	BUF	  at  TEN	27	34	30	2.6076809620811		
