
FantasyPros.com 	 
Week 5 - RB Rankings 	 
Expert Consensus Rankings (ECR) 	 

 Rank 	 Player Name 	Team 	 Matchup 	Best Rank 	 Worst Rank 	 Avg Rank 	 Std Dev 	
1	Le'Veon Bell	PIT	  at  SD	1	1	1	0		
2	Adrian Peterson	MIN	  	2	3	2.5	0.5		
3	Jamaal Charles	KC	  vs.  CHI	2	4	3	1		
4	Eddie Lacy	GB	  vs.  STL	3	5	3.6666666666667	0.74535599249993		
5	Matt Forte	CHI	  at  KC	4	8	5.5	1.2583057392118		
6	Marshawn Lynch	SEA	  at  CIN	5	6	5.6666666666667	0.47140452079103		
7	Jeremy Hill	CIN	  vs.  SEA	6	14	9.3333333333333	3.0912061651652		
8	Mark Ingram	NO	  at  PHI	8	14	9.8333333333333	2.0344259359556		
9	Arian Foster	HOU	  vs.  IND	7	20	11.166666666667	4.2979323194092		
10	Latavius Murray	OAK	  vs.  DEN	9	16	11.5	2.2173557826083		
11	Carlos Hyde	SF	  at  NYG	7	28	12.833333333333	7.1976076272297		
12	Frank Gore	IND	  at  HOU	10	17	14.5	2.6299556396766		
13	Todd Gurley	STL	  at  GB	9	29	14.833333333333	6.9621995247351		
14	Justin Forsett	BAL	  vs.  CLE	12	21	15.166666666667	2.7938424357067		
15	Christopher Ivory	NYJ	  	11	21	15.5	2.9860788111948		
16	Devonta Freeman	ATL	  vs.  WAS	7	38	17.5	9.8446262837482		
17	Joseph Randle	DAL	  vs.  NE	15	23	17.666666666667	2.6874192494328		
18	LeSean McCoy	BUF	  at  TEN	10	26	18.166666666667	5.2730973398521		
19	DeMarco Murray	PHI	  vs.  NO	7	30	20.5	6.8251984098144		
20	Melvin Gordon	SD	  vs.  PIT	18	29	21.666666666667	3.6362373715452		
21	T.J. Yeldon	JAC	  at  TB	17	27	22.166666666667	3.4840908267278		
22	Lamar Miller	MIA	  	11	34	23.5	8.9582364335845		
23	Jonathan Stewart	CAR	  	13	32	24.333333333333	6.992058987801		
24	Alfred Morris	WAS	  at  ATL	17	36	24.833333333333	6.2025980219761		
25	Ameer Abdullah	DET	  vs.  ARI	22	28	24.833333333333	2.1147629234083		
26	LeGarrette Blount	NE	  at  DAL	19	37	25.333333333333	5.6764621219755		
27	Doug Martin	TB	  vs.  JAC	22	30	26.166666666667	2.7938424357067		
28	C.J. Anderson	DEN	  at  OAK	9	35	26.5	8.3416625041615		
29	Dion Lewis	NE	  at  DAL	15	54	27	13.241349377361		
30	Giovani Bernard	CIN	  vs.  SEA	21	33	27	4.0414518843274		
31	Danny Woodhead	SD	  vs.  PIT	26	41	31.833333333333	5.4594464513864		
32	C.J. Spiller	NO	  at  PHI	27	37	32.666666666667	4.1096093353127		
33	Ronnie Hillman	DEN	  at  OAK	24	49	34.166666666667	7.6467131646363		
34	Chris Johnson	ARI	  at  DET	20	45	35.333333333333	8.6538366571648		
35	Karlos Williams	BUF	  at  TEN	25	35	32.2	3.6551333764994		
36	Tevin Coleman	ATL	  vs.  WAS	24	48	35.5	7.7835296192237		
37	Isaiah Crowell	CLE	  at  BAL	32	44	35.833333333333	4.2979323194092		
38	Ryan Mathews	PHI	  vs.  NO	30	40	37.166666666667	3.6247605284886		
39	Rashad Jennings	NYG	  vs.  SF	31	43	39	3.9581140290126		
40	Andre Ellington	ARI	  at  DET	32	49	39.5	6.4743081998517		
41	Matt Jones	WAS	  at  ATL	37	46	41.666666666667	3.2998316455372		
42	Duke Johnson	CLE	  at  BAL	38	49	41.833333333333	3.9756201472922		
43	Bishop Sankey	TEN	  vs.  BUF	34	53	42.666666666667	5.6470247820325		
44	David Johnson	ARI	  at  DET	36	47	43.833333333333	3.6704525909242		
45	Shane Vereen	NYG	  vs.  SF	37	55	44.833333333333	5.3980449135672		
46	Darren Sproles	PHI	  vs.  NO	31	50	44.333333333333	6.3683243915143		
47	Joique Bell	DET	  vs.  ARI	35	62	48	8.7368949480541		
48	Tre Mason	STL	  at  GB	36	57	46.2	7.678541528181		
49	Darren McFadden	DAL	  vs.  NE	40	52	46	4.6547466812563		
50	Andre Williams	NYG	  vs.  SF	43	52	48.166666666667	2.9107081994288		
51	Antonio Andrews	TEN	  vs.  BUF	41	92	60.2	17.220917513303		
52	Thomas Rawls	SEA	  at  CIN	45	62	51.8	5.6		
53	Alfred Blue	HOU	  vs.  IND	45	59	54.333333333333	4.5338235029118		
54	Anthony Dixon	BUF	  at  TEN	47	94	77.5	18.200274723201		
55	Charles Sims	TB	  vs.  JAC	47	57	52.666666666667	3.3499585403736		
56	James Starks	GB	  vs.  STL	48	69	58.833333333333	7.0099136149377		
