
FantasyPros.com 	 
Week 5 - TE Rankings 	 
Expert Consensus Rankings (ECR) 	 

 Rank 	 Player Name 	Team 	 Matchup 	Best Rank 	 Worst Rank 	 Avg Rank 	 Std Dev 	
1	Rob Gronkowski	NE	  at  DAL	1	1	1	0		
2	Greg Olsen	CAR	  	2	4	2.5	0.76376261582597		
3	Jimmy Graham	SEA	  at  CIN	2	5	3.1666666666667	1.0671873729055		
4	Travis Kelce	KC	  vs.  CHI	3	4	3.6666666666667	0.47140452079103		
5	Tyler Eifert	CIN	  vs.  SEA	3	7	5.1666666666667	1.2133516482134		
6	Martellus Bennett	CHI	  at  KC	5	7	5.8333333333333	0.68718427093628		
7	Jason Witten	DAL	  vs.  NE	6	9	8.1666666666667	1.0671873729055		
8	Delanie Walker	TEN	  vs.  BUF	7	14	9.6666666666667	2.2110831935703		
9	Jordan Cameron	MIA	  	8	15	10.833333333333	2.2669117514559		
10	Antonio Gates	SD	  vs.  PIT	6	19	12.5	4.991659710624		
11	Zach Ertz	PHI	  vs.  NO	7	23	13.833333333333	6.3617782279974		
12	Jordan Reed	WAS	  at  ATL	10	26	14.333333333333	5.6174331821176		
13	Charles Clay	BUF	  at  TEN	7	25	14.333333333333	5.9628479399994		
14	Dwayne Allen	IND	  at  HOU	12	18	15.333333333333	2.2110831935703		
15	Julius Thomas	JAC	  at  TB	13	21	15.833333333333	2.6087459737498		
16	Eric Ebron	DET	  vs.  ARI	12	21	17	3.605551275464		
17	Coby Fleener	IND	  at  HOU	13	27	18.333333333333	5.0881125074912		
18	Kyle Rudolph	MIN	  	9	24	18.5	6.1032778078669		
19	Ladarius Green	SD	  vs.  PIT	12	26	19.333333333333	4.9553562491062		
20	Heath Miller	PIT	  at  SD	13	25	18.5	3.8622100754188		
21	Owen Daniels	DEN	  at  OAK	14	21	17.833333333333	2.4094720491335		
22	Richard Rodgers	GB	  vs.  STL	11	27	21.166666666667	5.7855183192366		
23	Gary Barnidge	CLE	  at  BAL	10	41	24.333333333333	12.762793146051		
24	Austin Seferian-Jenkins	TB	  vs.  JAC	12	28	22	5.1961524227066		
25	Crockett Gillmore	BAL	  vs.  CLE	17	28	22.4	3.8262252939418		
26	Larry Donnell	NYG	  vs.  SF	18	27	23	2.7080128015453		
27	Josh Hill	NO	  at  PHI	19	28	24.6	3.0724582991474		
28	Vernon Davis	SF	  at  NYG	20	30	24.666666666667	3.9015666369065		
29	Jared Cook	STL	  at  GB	22	31	26.833333333333	3.2360813064913		
30	Mychal Rivera	OAK	  vs.  DEN	26	34	30.5	2.9580398915498		
31	Scott Chandler	NE	  at  DAL	27	32	29.333333333333	2.0548046676563		
32	Maxx Williams	BAL	  vs.  CLE	27	31	29.4	1.3564659966251		
33	Benjamin Watson	NO	  at  PHI	28	40	32.2	4.2142615011411		
34	Jake Stoneburner	MIA	  	29	35	32	3		
35	Virgil Green	DEN	  at  OAK	29	34	31.75	1.9202864369672		
36	Jacob Tamme	ATL	  vs.  WAS	31	36	33	2.1602468994693		
37	Garrett Graham	HOU	  vs.  IND	32	32	32	0		
38	Darren Fells	ARI	  at  DET	33	37	35	2		
39	Jermaine Gresham	ARI	  at  DET	34	34	34	0		
40	Brent Celek	PHI	  vs.  NO	35	38	36.5	1.5		
41	Gavin Escobar	DAL	  vs.  NE	35	35	35	0		
42	Brandon Myers	TB	  vs.  JAC	36	43	39.5	3.5		
43	Marcedes Lewis	JAC	  at  TB	39	39	39	0		
44	Jeff Cumberland	NYJ	  	42	42	42	0		
45	Dion Sims	MIA	  	44	44	44	0		
46	Levine Toilolo	ATL	  vs.  WAS	45	45	45	0		
47	Rob Housler	CLE	  at  BAL	46	46	46	0		
48	Luke Willson	SEA	  at  CIN	47	47	47	0		
49	Troy Niklas	ARI	  at  DET	48	48	48	0		
50	MyCole Pruitt	MIN	  	49	49	49	0		
