
FantasyPros.com 	 
Week 5 - WR Rankings 	 
Expert Consensus Rankings (ECR) 	 

 Rank 	 Player Name 	Team 	 Matchup 	Best Rank 	 Worst Rank 	 Avg Rank 	 Std Dev 	
1	Julio Jones	ATL	  vs.  WAS	1	2	1.1666666666667	0.37267799624996		
2	Odell Beckham Jr.	NYG	  vs.  SF	2	4	2.5	0.76376261582597		
3	Antonio Brown	PIT	  at  SD	1	6	3.3333333333333	1.5986105077709		
4	A.J. Green	CIN	  vs.  SEA	3	6	4.5	1.5		
5	Demaryius Thomas	DEN	  at  OAK	3	10	5.3333333333333	2.2852182001337		
6	Randall Cobb	GB	  vs.  STL	4	7	5.5	1.1180339887499		
7	Calvin Johnson	DET	  vs.  ARI	5	14	7.5	3.0413812651491		
8	DeAndre Hopkins	HOU	  vs.  IND	7	11	9.1666666666667	1.4624940645654		
9	Emmanuel Sanders	DEN	  at  OAK	6	16	10.666666666667	3.6362373715452		
10	Mike Evans	TB	  vs.  JAC	8	16	12.166666666667	3.3870669054836		
11	Amari Cooper	OAK	  vs.  DEN	10	16	13	1.8257418583506		
12	Julian Edelman	NE	  at  DAL	8	18	13.333333333333	3.4480268109295		
13	Jordan Matthews	PHI	  vs.  NO	9	24	13.333333333333	4.8876260995384		
14	Keenan Allen	SD	  vs.  PIT	9	18	13.833333333333	3.1313823713427		
15	T.Y. Hilton	IND	  at  HOU	13	18	15.5	1.6072751268322		
16	Brandon Marshall	NYJ	  	11	21	15.666666666667	3.5433819375782		
17	Alshon Jeffery	CHI	  at  KC	8	45	17.666666666667	12.605113600793		
18	Larry Fitzgerald	ARI	  at  DET	9	31	18.333333333333	6.4978628965393		
19	Jeremy Maclin	KC	  vs.  CHI	17	23	20.333333333333	2.1343747458109		
20	Jarvis Landry	MIA	  	18	27	22.166666666667	3.1841621957571		
21	Allen Robinson	JAC	  at  TB	19	25	22.333333333333	1.9720265943665		
22	Vincent Jackson	TB	  vs.  JAC	20	27	23.666666666667	2.7487370837451		
23	Brandin Cooks	NO	  at  PHI	10	34	24.333333333333	8.1785627642569		
24	Eric Decker	NYJ	  	18	33	26.333333333333	5.4670731556189		
25	James Jones	GB	  vs.  STL	13	52	27	12.027745701779		
26	Sammy Watkins	BUF	  at  TEN	24	31	27.833333333333	2.192157739661		
27	Martavis Bryant	PIT	  at  SD	24	38	30.833333333333	5.3046101542798		
28	Donte Moncrief	IND	  at  HOU	20	70	32.666666666667	16.888523387858		
29	Golden Tate	DET	  vs.  ARI	22	58	31.833333333333	12.680913041085		
30	Mike Wallace	MIN	  	28	37	32.5	3.5939764421413		
31	Pierre Garcon	WAS	  at  ATL	22	44	33.166666666667	6.6185765505549		
32	John Brown	ARI	  at  DET	25	42	33.333333333333	5.3437398472938		
