
FantasyPros.com 	 
Week 3 - RB Rankings 	 
Expert Consensus Rankings (ECR) 	 

 Rank 	 Player Name 	Team 	 Matchup 	Best Rank 	 Worst Rank 	 Avg Rank 	 Std Dev 	
1	Le'Veon Bell	PIT	  at  STL	1	1	1	0		
2	Jamaal Charles	KC	  at  GB	2	3	2.3333333333333	0.47140452079103		
3	Adrian Peterson	MIN	  vs.  SD	2	5	3.6666666666667	1.2472191289246		
4	Matt Forte	CHI	  at  SEA	3	5	3.6666666666667	0.94280904158206		
5	Marshawn Lynch	SEA	  vs.  CHI	4	6	4.6666666666667	0.94280904158206		
6	Eddie Lacy	GB	  vs.  KC	5	9	6.6666666666667	1.6996731711976		
7	Justin Forsett	BAL	  vs.  CIN	6	8	7	0.81649658092773		
8	Jeremy Hill	CIN	  at  BAL	7	12	9.3333333333333	2.0548046676563		
9	Mark Ingram	NO	  at  CAR	9	16	12	2.9439202887759		
10	DeMarco Murray	PHI	  at  NYJ	11	14	12.333333333333	1.2472191289246		
11	Carlos Hyde	SF	  at  ARI	10	19	13	4.2426406871193		
12	LeSean McCoy	BUF	  at  MIA	12	14	13.333333333333	0.94280904158206		
13	Lamar Miller	MIA	  vs.  BUF	11	17	13.666666666667	2.4944382578493		
14	Arian Foster	HOU	  vs.  TB	7	20	15	5.7154760664941		
15	C.J. Anderson	DEN	  at  DET	8	19	15	4.9665548085838		
16	Frank Gore	IND	  at  TEN	13	16	15	1.4142135623731		
17	Latavius Murray	OAK	  at  CLE	13	23	17	4.3204937989386		
18	Ameer Abdullah	DET	  vs.  DEN	10	24	18	5.8878405775519		
19	Christopher Ivory	NYJ	  vs.  PHI	15	24	19.333333333333	3.6817870057291		
20	Doug Martin	TB	  at  HOU	15	26	20.333333333333	4.4969125210773		
21	Dion Lewis	NE	  vs.  JAC	8	31	20.666666666667	9.5335664307167		
22	Jonathan Stewart	CAR	  vs.  NO	17	28	22	4.546060565662		
23	Melvin Gordon	SD	  at  MIN	21	29	24	3.5590260840104		
24	C.J. Spiller	NO	  at  CAR	18	31	24.333333333333	5.3124591501697		
25	Joseph Randle	DAL	  vs.  ATL	21	27	24.333333333333	2.4944382578493		
26	Alfred Morris	WAS	  at  NYG	22	29	25.333333333333	2.8674417556809		
27	Todd Gurley	STL	  vs.  PIT	22	34	27.333333333333	4.9888765156986		
28	T.J. Yeldon	JAC	  at  NE	17	28	22.5	5.5		
29	Danny Woodhead	SD	  at  MIN	23	26	24.5	1.5		
30	Andre Ellington	ARI	  vs.  SF	27	46	34.333333333333	8.3399973354645		
31	LeGarrette Blount	NE	  vs.  JAC	28	38	34.666666666667	4.7140452079103		
32	Giovani Bernard	CIN	  at  BAL	27	29	28	1		
33	Devonta Freeman	ATL	  at  DAL	30	32	31	1		
34	Matt Jones	WAS	  at  NYG	25	41	33	8		
35	David Johnson	ARI	  vs.  SF	33	37	35	2		
36	Darren Sproles	PHI	  at  NYJ	35	35	35	0		
37	Rashad Jennings	NYG	  vs.  WAS	32	40	36	4		
38	Shane Vereen	NYG	  vs.  WAS	36	36	36	0		
39	Isaiah Crowell	CLE	  vs.  OAK	34	39	36.5	2.5		
40	Bishop Sankey	TEN	  vs.  IND	37	39	38	1		
41	Tevin Coleman	ATL	  at  DAL	33	47	40	7		
42	Lance Dunbar	DAL	  vs.  ATL	41	45	43	2		
43	Duke Johnson	CLE	  vs.  OAK	43	43	43	0		
44	Joique Bell	DET	  vs.  DEN	42	45	43.5	1.5		
45	Ronnie Hillman	DEN	  at  DET	44	44	44	0		
46	Ryan Mathews	PHI	  at  NYJ	42	48	45	3		
47	Tre Mason	STL	  vs.  PIT	40	51	45.5	5.5		
48	James Starks	GB	  vs.  KC	47	49	48	1		
49	DeAngelo Williams	PIT	  at  STL	46	55	50.5	4.5		
50	Chris Johnson	ARI	  vs.  SF	48	49	48.5	0.5		
51	Lorenzo Taliaferro	BAL	  vs.  CIN	50	57	53.5	3.5		
52	Karlos Williams	BUF	  at  MIA	50	51	50.5	0.5		
53	Bilal Powell	NYJ	  vs.  PHI	52	52	52	0		
54	Christine Michael	DAL	  vs.  ATL	53	75	64	11		
55	Khiry Robinson	NO	  at  CAR	53	58	55.5	2.5		
56	Chris Polk	HOU	  vs.  TB	54	68	61	7		
57	Darren McFadden	DAL	  vs.  ATL	54	59	56.5	2.5		
58	Jerick McKinnon	MIN	  vs.  SD	55	70	62.5	7.5		
59	Reggie Bush	SF	  at  ARI	56	62	59	3		
60	Andre Williams	NYG	  vs.  WAS	56	60	58	2		
61	Charles Sims	TB	  at  HOU	57	58	57.5	0.5		
62	Fred Jackson	SEA	  vs.  CHI	59	67	63	4		
63	Knile Davis	KC	  at  GB	60	61	60.5	0.5		
64	Dexter McCluster	TEN	  vs.  IND	61	62	61.5	0.5		
65	Damien Williams	MIA	  vs.  BUF	63	64	63.5	0.5		
66	Denard Robinson	JAC	  at  NE	63	63	63	0		
67	Alfred Blue	HOU	  vs.  TB	64	73	68.5	4.5		
68	Theo Riddick	DET	  vs.  DEN	65	65	65	0		
69	Benny Cunningham	STL	  vs.  PIT	66	70	68	2		
70	Josh Robinson	IND	  at  TEN	66	68	67	1		
71	Marcel Reece	OAK	  at  CLE	67	67	67	0		
72	Terrance West	TEN	  vs.  IND	69	71	70	1		
73	Roy Helu	OAK	  at  CLE	69	69	69	0		
74	Jeremy Langford	CHI	  at  SEA	72	72	72	0		
75	Javorius Allen	BAL	  vs.  CIN	74	74	74	0		
76	Mike Davis	SF	  at  ARI	76	76	76	0		
77	Branden Oliver	SD	  at  MIN	77	77	77	0		
78	Mike Tolbert	CAR	  vs.  NO	78	78	78	0		
79	Cameron Artis-Payne	CAR	  vs.  NO	79	79	79	0		
80	Anthony Dixon	BUF	  at  MIA	80	80	80	0		
81	Jacquizz Rodgers	CHI	  at  SEA	81	81	81	0		
82	Matt Asiata	MIN	  vs.  SD	82	82	82	0		
83	James White	NE	  vs.  JAC	83	83	83	0		
84	David Cobb	TEN	  vs.  IND	84	84	84	0		
85	Stevan Ridley	NYJ	  vs.  PHI	85	85	85	0		
